network,park,plot_name,plot_number,x_coord,y_coord,year,cycle,guild,plot.freq,ave.quad.r,avg.cover,quad.freq,qpct.freq,num.plot.spp
ERMN,ALPO,ALPO-006,6,706713,4481771,2009,1,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2009,1,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2009,1,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2009,1,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2013,2,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2013,2,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2013,2,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2013,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2017,3,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2017,3,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2017,3,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-006,6,706713,4481771,2017,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-009,9,707458,4481771,2011,2,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-009,9,707458,4481771,2011,2,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-009,9,707458,4481771,2011,2,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-009,9,707458,4481771,2011,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-009,9,707458,4481771,2015,3,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-009,9,707458,4481771,2015,3,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-009,9,707458,4481771,2015,3,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-009,9,707458,4481771,2015,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-015,15,707334,4481517,2009,1,Graminoid,1,0.083333333,0.291666667,1,0.083333333,1
ERMN,ALPO,ALPO-015,15,707334,4481517,2009,1,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-015,15,707334,4481517,2009,1,Shrub,1,0,0,0,0,1
ERMN,ALPO,ALPO-015,15,707334,4481517,2009,1,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-015,15,707334,4481517,2013,2,Graminoid,1,0,0,0,0,1
ERMN,ALPO,ALPO-015,15,707334,4481517,2013,2,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-015,15,707334,4481517,2013,2,Shrub,1,0.083333333,0.008333333,1,0.083333333,1
ERMN,ALPO,ALPO-015,15,707334,4481517,2013,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-015,15,707334,4481517,2017,3,Graminoid,1,0.083333333,0.625,1,0.083333333,1
ERMN,ALPO,ALPO-015,15,707334,4481517,2017,3,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-015,15,707334,4481517,2017,3,Shrub,1,0,0,0,0,1
ERMN,ALPO,ALPO-015,15,707334,4481517,2017,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-020,20,707957,4481298,2011,2,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-020,20,707957,4481298,2011,2,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-020,20,707957,4481298,2011,2,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-020,20,707957,4481298,2011,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-020,20,707957,4481298,2015,3,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-020,20,707957,4481298,2015,3,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-020,20,707957,4481298,2015,3,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-020,20,707957,4481298,2015,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-021,21,708212,4481253,2010,1,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-021,21,708212,4481253,2010,1,Herbaceous,1,0,0,0,0,1
ERMN,ALPO,ALPO-021,21,708212,4481253,2010,1,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-021,21,708212,4481253,2010,1,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-021,21,708212,4481253,2014,2,Graminoid,1,0,0,0,0,1
ERMN,ALPO,ALPO-021,21,708212,4481253,2014,2,Herbaceous,1,0,0,0,0,1
ERMN,ALPO,ALPO-021,21,708212,4481253,2014,2,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-021,21,708212,4481253,2014,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-021,21,708212,4481253,2018,3,Graminoid,1,0,0,0,0,1
ERMN,ALPO,ALPO-021,21,708212,4481253,2018,3,Herbaceous,1,0.083333333,0.008333333,1,0.083333333,1
ERMN,ALPO,ALPO-021,21,708212,4481253,2018,3,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-021,21,708212,4481253,2018,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-022,22,707177,4481010,2011,2,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-022,22,707177,4481010,2011,2,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-022,22,707177,4481010,2011,2,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-022,22,707177,4481010,2011,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-022,22,707177,4481010,2015,3,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-022,22,707177,4481010,2015,3,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-022,22,707177,4481010,2015,3,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-022,22,707177,4481010,2015,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-025,25,707829,4481027,2009,1,Graminoid,1,0,0,0,0,1
ERMN,ALPO,ALPO-025,25,707829,4481027,2009,1,Herbaceous,1,1.083333333,11.49166667,9,0.75,4
ERMN,ALPO,ALPO-025,25,707829,4481027,2009,1,Shrub,1,0,0,0,0,1
ERMN,ALPO,ALPO-025,25,707829,4481027,2009,1,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-025,25,707829,4481027,2013,2,Graminoid,1,0.166666667,2.083333333,2,0.166666667,1
ERMN,ALPO,ALPO-025,25,707829,4481027,2013,2,Herbaceous,1,1.333333333,9.75,11,0.916666667,5
ERMN,ALPO,ALPO-025,25,707829,4481027,2013,2,Shrub,1,0,0,0,0,1
ERMN,ALPO,ALPO-025,25,707829,4481027,2013,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-025,25,707829,4481027,2017,3,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-025,25,707829,4481027,2017,3,Herbaceous,1,1.333333333,18.1,11,0.916666667,5
ERMN,ALPO,ALPO-025,25,707829,4481027,2017,3,Shrub,1,0,0,0,0,2
ERMN,ALPO,ALPO-025,25,707829,4481027,2017,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-030,30,707459,4480771,2011,2,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-030,30,707459,4480771,2011,2,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-030,30,707459,4480771,2011,2,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-030,30,707459,4480771,2011,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-030,30,707459,4480771,2015,3,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-030,30,707459,4480771,2015,3,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-030,30,707459,4480771,2015,3,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-030,30,707459,4480771,2015,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-031,31,707710,4480775,2010,1,Graminoid,1,1,46.58333333,12,1,1
ERMN,ALPO,ALPO-031,31,707710,4480775,2010,1,Herbaceous,1,0.083333333,0.291666667,1,0.083333333,1
ERMN,ALPO,ALPO-031,31,707710,4480775,2010,1,Shrub,1,0.166666667,0.583333333,2,0.166666667,1
ERMN,ALPO,ALPO-031,31,707710,4480775,2010,1,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-031,31,707710,4480775,2014,2,Graminoid,1,1,13.16666667,12,1,1
ERMN,ALPO,ALPO-031,31,707710,4480775,2014,2,Herbaceous,1,0,0,0,0,1
ERMN,ALPO,ALPO-031,31,707710,4480775,2014,2,Shrub,1,0.166666667,3.416666667,2,0.166666667,2
ERMN,ALPO,ALPO-031,31,707710,4480775,2014,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-031,31,707710,4480775,2018,3,Graminoid,1,0.916666667,37.70833333,11,0.916666667,1
ERMN,ALPO,ALPO-031,31,707710,4480775,2018,3,Herbaceous,1,0,0,0,0,1
ERMN,ALPO,ALPO-031,31,707710,4480775,2018,3,Shrub,1,0.416666667,13.21666667,5,0.416666667,2
ERMN,ALPO,ALPO-031,31,707710,4480775,2018,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-036,36,708852,4480520,2011,2,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-036,36,708852,4480520,2011,2,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-036,36,708852,4480520,2011,2,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-036,36,708852,4480520,2011,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-036,36,708852,4480520,2015,3,Graminoid,1,0,0,0,0,1
ERMN,ALPO,ALPO-036,36,708852,4480520,2015,3,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-036,36,708852,4480520,2015,3,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-036,36,708852,4480520,2015,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2009,1,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2009,1,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2009,1,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2009,1,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2013,2,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2013,2,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2013,2,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2013,2,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2017,3,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2017,3,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2017,3,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-040,40,709440,4480276,2017,3,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-041,41,709393,4480081,2008,1,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-041,41,709393,4480081,2008,1,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-041,41,709393,4480081,2008,1,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-041,41,709393,4480081,2008,1,Tree,0,0,0,0,0,0
ERMN,ALPO,ALPO-041,41,709393,4480081,2012,2,Graminoid,0,0,0,0,0,0
ERMN,ALPO,ALPO-041,41,709393,4480081,2012,2,Herbaceous,0,0,0,0,0,0
ERMN,ALPO,ALPO-041,41,709393,4480081,2012,2,Shrub,0,0,0,0,0,0
ERMN,ALPO,ALPO-041,41,709393,4480081,2012,2,Tree,0,0,0,0,0,0
