"","Latin_Name","Herbaceous","Tree","Shrub","Vine","Exotic"
"1","Morus alba",FALSE,TRUE,FALSE,FALSE,TRUE
"2","Robinia pseudoacacia",FALSE,TRUE,FALSE,FALSE,TRUE
"3","Maclura pomifera",FALSE,TRUE,FALSE,FALSE,TRUE
"4","Ailanthus altissima",FALSE,TRUE,FALSE,FALSE,TRUE
"5","Gleditsia triacanthos",FALSE,TRUE,FALSE,FALSE,TRUE
"6","Prunus avium",FALSE,TRUE,FALSE,FALSE,TRUE
"7","Acer platanoides",FALSE,TRUE,FALSE,FALSE,TRUE
"8","Pyrus spp.",FALSE,TRUE,FALSE,FALSE,TRUE
"9","Catalpa bignonioides",FALSE,TRUE,FALSE,FALSE,TRUE
"10","Magnolia grandiflora",FALSE,TRUE,FALSE,FALSE,TRUE
"11","Pyrus communis",FALSE,TRUE,FALSE,FALSE,TRUE
"12","Paulownia tomentosa",FALSE,TRUE,FALSE,FALSE,TRUE
"13","Ulmus pumila",FALSE,TRUE,FALSE,FALSE,TRUE
"14","Pyrus pyrifolia",FALSE,TRUE,TRUE,FALSE,TRUE
"15","Pyrus betulifolia",FALSE,TRUE,FALSE,FALSE,TRUE
"16","Malus floribunda",FALSE,TRUE,FALSE,FALSE,TRUE
"17","Malus sieboldii",FALSE,TRUE,FALSE,FALSE,TRUE
"18","Malus prunifolia",FALSE,TRUE,FALSE,FALSE,TRUE
"19","Catalpa speciosa",FALSE,TRUE,FALSE,FALSE,TRUE
"20","Aralia elata",FALSE,TRUE,FALSE,FALSE,TRUE
"21","Malus baccata",FALSE,TRUE,FALSE,FALSE,TRUE
"22","Gymnocladus dioicus",FALSE,TRUE,FALSE,FALSE,TRUE
"23","Pyrus calleryana",FALSE,TRUE,FALSE,FALSE,TRUE
"24","Malus spp.",FALSE,FALSE,FALSE,FALSE,TRUE
"25","Lonicera maackii",FALSE,FALSE,TRUE,FALSE,TRUE
"26","Phellodendron lavallei",FALSE,TRUE,FALSE,FALSE,TRUE
"27","Sophora japonica",FALSE,TRUE,FALSE,FALSE,TRUE
"28","Albizia julibrissin",FALSE,TRUE,FALSE,FALSE,TRUE
"29","Lonicera morrowii",FALSE,FALSE,TRUE,FALSE,TRUE
"30","Elaeagnus umbellata",FALSE,FALSE,TRUE,FALSE,TRUE
"31","Ligustrum obtusifolium",FALSE,FALSE,TRUE,FALSE,TRUE
"32","Ligustrum vulgare",FALSE,FALSE,TRUE,FALSE,TRUE
"33","Viburnum dilatatum",FALSE,FALSE,TRUE,FALSE,TRUE
"34","Euonymus alatus",FALSE,FALSE,TRUE,FALSE,TRUE
"35","Ligustrum ovalifolium",FALSE,FALSE,TRUE,FALSE,TRUE
"36","Ligustrum spp.",FALSE,FALSE,TRUE,FALSE,TRUE
"37","Elaeagnus pungens",FALSE,FALSE,TRUE,FALSE,TRUE
"38","Viburnum plicatum",FALSE,FALSE,TRUE,FALSE,TRUE
"39","Viburnum sieboldii",FALSE,FALSE,TRUE,FALSE,TRUE
"40","Viburnum lantana",FALSE,FALSE,TRUE,FALSE,TRUE
"41","Spiraea japonica",FALSE,FALSE,TRUE,FALSE,TRUE
"42","Rhodotypos scandens",FALSE,FALSE,TRUE,FALSE,TRUE
"43","Ligustrum sinense",FALSE,FALSE,TRUE,FALSE,TRUE
"44","Cirsium arvense",TRUE,FALSE,FALSE,FALSE,TRUE
"45","Microstegium vimineum",TRUE,FALSE,FALSE,FALSE,TRUE
"46","Rosa multiflora",TRUE,FALSE,TRUE,TRUE,TRUE
"47","Ampelopsis brevipedunculata",TRUE,FALSE,FALSE,TRUE,TRUE
"48","Duchesnea indica",TRUE,FALSE,FALSE,FALSE,TRUE
"49","Alliaria petiolata",TRUE,FALSE,FALSE,FALSE,TRUE
"50","Lonicera japonica",FALSE,FALSE,FALSE,TRUE,TRUE
"51","Polygonum caespitosum",TRUE,FALSE,FALSE,FALSE,TRUE
"52","Perilla frutescens",TRUE,FALSE,FALSE,FALSE,TRUE
"53","Celastrus orbiculatus",FALSE,FALSE,FALSE,TRUE,TRUE
"54","Rubus phoenicolasius",TRUE,FALSE,TRUE,FALSE,TRUE
"55","Glechoma hederacea",TRUE,FALSE,FALSE,TRUE,TRUE
"56","Urtica dioica",TRUE,FALSE,FALSE,FALSE,TRUE
"57","Berberis thunbergii",FALSE,FALSE,TRUE,FALSE,TRUE
"58","Polygonum perfoliatum",TRUE,FALSE,FALSE,TRUE,TRUE
"59","Polygonum persicaria",TRUE,FALSE,FALSE,FALSE,TRUE
"60","Euonymus fortunei",FALSE,FALSE,FALSE,TRUE,TRUE
"61","Lysimachia nummularia",TRUE,FALSE,FALSE,FALSE,TRUE
"62","Polygonum cuspidatum",TRUE,FALSE,FALSE,FALSE,TRUE
"63","Lonicera spp.",TRUE,FALSE,TRUE,TRUE,TRUE
"64","Clematis terniflora",FALSE,FALSE,FALSE,TRUE,TRUE
"65","Artemisia vulgaris",TRUE,FALSE,FALSE,FALSE,TRUE
"66","Lespedeza cuneata",TRUE,FALSE,FALSE,FALSE,TRUE
"67","Hedera helix",TRUE,FALSE,FALSE,TRUE,TRUE
"68","Wisteria floribunda",TRUE,FALSE,FALSE,TRUE,TRUE
"69","Wisteria sinensis",TRUE,FALSE,FALSE,TRUE,TRUE
"70","Humulus japonicus",TRUE,FALSE,FALSE,TRUE,TRUE
"71","Ranunculus ficaria",TRUE,FALSE,FALSE,FALSE,TRUE
"72","Akebia quinata",FALSE,FALSE,FALSE,TRUE,TRUE
"73","Iris pseudacorus",TRUE,FALSE,FALSE,FALSE,TRUE
"74","Murdannia keisak",TRUE,FALSE,FALSE,FALSE,TRUE
"75","Vinca minor",TRUE,FALSE,FALSE,FALSE,TRUE
"76","Hemerocallis fulva",TRUE,FALSE,FALSE,FALSE,TRUE
"77","Pueraria montana",TRUE,FALSE,FALSE,TRUE,TRUE
"78","Rubus bifrons",FALSE,FALSE,TRUE,FALSE,TRUE
"79","Oplismenus undulatifolius",TRUE,FALSE,FALSE,FALSE,TRUE
