"","park","plot_name","year","network","x_coord","y_coord","cycle","guild","num.plot.spp","avg.quad.r","avg.cover","quad.freq","qpct.freq"
"1","ANTI","ANTI-0025",2018,"NCRN",263500,4374500,3,"Graminoids",1,0.166666666666667,2.25,2,16.6666666666667
"2","ANTI","ANTI-0025",2018,"NCRN",263500,4374500,3,"Herbaceous",1,0.916666666666667,37.4166666666667,11,91.6666666666667
"3","ANTI","ANTI-0025",2018,"NCRN",263500,4374500,3,"Shrubs-Micro",0,0,NA,0,0
"4","ANTI","ANTI-0025",2018,"NCRN",263500,4374500,3,"Shrubs-Quad",0,0,0,0,0
"5","ANTI","ANTI-0025",2018,"NCRN",263500,4374500,3,"Trees",0,0,NA,0,0
"6","ANTI","ANTI-0025",2010,"NCRN",263500,4374500,1,"Graminoids",0,0,0,0,0
"7","ANTI","ANTI-0025",2010,"NCRN",263500,4374500,1,"Herbaceous",0,0,0,0,0
"8","ANTI","ANTI-0025",2010,"NCRN",263500,4374500,1,"Shrubs-Micro",0,0,NA,0,0
"9","ANTI","ANTI-0025",2010,"NCRN",263500,4374500,1,"Shrubs-Quad",0,0,0,0,0
"10","ANTI","ANTI-0025",2010,"NCRN",263500,4374500,1,"Trees",1,0.0833333333333333,NA,1,8.33333333333333
"11","ANTI","ANTI-0025",2014,"NCRN",263500,4374500,2,"Graminoids",0,0,0,0,0
"12","ANTI","ANTI-0025",2014,"NCRN",263500,4374500,2,"Herbaceous",2,0.583333333333333,13,7,58.3333333333333
"13","ANTI","ANTI-0025",2014,"NCRN",263500,4374500,2,"Shrubs-Micro",0,0,NA,0,0
"14","ANTI","ANTI-0025",2014,"NCRN",263500,4374500,2,"Shrubs-Quad",1,0.0833333333333333,0.666666666666667,1,8.33333333333333
"15","ANTI","ANTI-0025",2014,"NCRN",263500,4374500,2,"Trees",1,0.25,NA,3,25
"16","ANTI","ANTI-0036",2016,"NCRN",264000,4374250,3,"Graminoids",1,0.166666666666667,0.166666666666667,2,16.6666666666667
"17","ANTI","ANTI-0036",2016,"NCRN",264000,4374250,3,"Herbaceous",4,1.66666666666667,27.25,11,91.6666666666667
"18","ANTI","ANTI-0036",2016,"NCRN",264000,4374250,3,"Shrubs-Micro",2,0,NA,0,0
"19","ANTI","ANTI-0036",2016,"NCRN",264000,4374250,3,"Shrubs-Quad",1,0.0833333333333333,0.666666666666667,1,8.33333333333333
"20","ANTI","ANTI-0036",2016,"NCRN",264000,4374250,3,"Trees",0,0,NA,0,0
"21","ANTI","ANTI-0036",2012,"NCRN",264000,4374250,2,"Graminoids",0,0,0,0,0
"22","ANTI","ANTI-0036",2012,"NCRN",264000,4374250,2,"Herbaceous",5,1.5,13.0833333333333,12,100
"23","ANTI","ANTI-0036",2012,"NCRN",264000,4374250,2,"Shrubs-Micro",2,0,NA,0,0
"24","ANTI","ANTI-0036",2012,"NCRN",264000,4374250,2,"Shrubs-Quad",2,0.5,12.1666666666667,4,33.3333333333333
"25","ANTI","ANTI-0036",2012,"NCRN",264000,4374250,2,"Trees",0,0,NA,0,0
"26","ANTI","ANTI-0045",2017,"NCRN",264000,4374000,3,"Graminoids",0,0,0,0,0
"27","ANTI","ANTI-0045",2017,"NCRN",264000,4374000,3,"Herbaceous",1,0.0833333333333333,0.0833333333333333,1,8.33333333333333
"28","ANTI","ANTI-0045",2017,"NCRN",264000,4374000,3,"Shrubs-Micro",1,0.0833333333333333,NA,1,8.33333333333333
"29","ANTI","ANTI-0045",2017,"NCRN",264000,4374000,3,"Shrubs-Quad",0,0,0,0,0
"30","ANTI","ANTI-0045",2017,"NCRN",264000,4374000,3,"Trees",1,0.0833333333333333,NA,1,8.33333333333333
"31","ANTI","ANTI-0052",2010,"NCRN",263250,4373750,1,"Graminoids",0,0,0,0,0
"32","ANTI","ANTI-0052",2010,"NCRN",263250,4373750,1,"Herbaceous",3,1,3.41666666666667,10,83.3333333333333
"33","ANTI","ANTI-0052",2010,"NCRN",263250,4373750,1,"Shrubs-Micro",0,0,NA,0,0
"34","ANTI","ANTI-0052",2010,"NCRN",263250,4373750,1,"Shrubs-Quad",0,0,0,0,0
"35","ANTI","ANTI-0052",2010,"NCRN",263250,4373750,1,"Trees",0,0,NA,0,0
"36","ANTI","ANTI-0052",2014,"NCRN",263250,4373750,2,"Graminoids",0,0,0,0,0
"37","ANTI","ANTI-0052",2014,"NCRN",263250,4373750,2,"Herbaceous",2,1.41666666666667,17.6666666666667,12,100
"38","ANTI","ANTI-0052",2014,"NCRN",263250,4373750,2,"Shrubs-Micro",0,0,NA,0,0
"39","ANTI","ANTI-0052",2014,"NCRN",263250,4373750,2,"Shrubs-Quad",0,0,0,0,0
"40","ANTI","ANTI-0052",2014,"NCRN",263250,4373750,2,"Trees",0,0,NA,0,0
"41","ANTI","ANTI-0052",2018,"NCRN",263250,4373750,3,"Graminoids",1,0.25,0.333333333333333,3,25
"42","ANTI","ANTI-0052",2018,"NCRN",263250,4373750,3,"Herbaceous",3,1.41666666666667,21.4166666666667,12,100
"43","ANTI","ANTI-0052",2018,"NCRN",263250,4373750,3,"Shrubs-Micro",1,0.0833333333333333,NA,1,8.33333333333333
"44","ANTI","ANTI-0052",2018,"NCRN",263250,4373750,3,"Shrubs-Quad",0,0,0,0,0
"45","ANTI","ANTI-0052",2018,"NCRN",263250,4373750,3,"Trees",0,0,NA,0,0
"46","ANTI","ANTI-0072",2010,"NCRN",263500,4373250,1,"Graminoids",0,0,0,0,0
"47","ANTI","ANTI-0072",2010,"NCRN",263500,4373250,1,"Herbaceous",2,0.416666666666667,2.83333333333333,4,33.3333333333333
"48","ANTI","ANTI-0072",2010,"NCRN",263500,4373250,1,"Shrubs-Micro",0,0,NA,0,0
"49","ANTI","ANTI-0072",2010,"NCRN",263500,4373250,1,"Shrubs-Quad",1,0.0833333333333333,1.25,1,8.33333333333333
"50","ANTI","ANTI-0072",2010,"NCRN",263500,4373250,1,"Trees",0,0,NA,0,0
"51","ANTI","ANTI-0072",2014,"NCRN",263500,4373250,2,"Graminoids",1,0.25,2.66666666666667,3,25
"52","ANTI","ANTI-0072",2014,"NCRN",263500,4373250,2,"Herbaceous",3,0.916666666666667,7.91666666666667,7,58.3333333333333
"53","ANTI","ANTI-0072",2014,"NCRN",263500,4373250,2,"Shrubs-Micro",1,0.0833333333333333,NA,1,8.33333333333333
"54","ANTI","ANTI-0072",2014,"NCRN",263500,4373250,2,"Shrubs-Quad",2,0.5,2.16666666666667,6,50
"55","ANTI","ANTI-0072",2014,"NCRN",263500,4373250,2,"Trees",0,0,NA,0,0
"56","ANTI","ANTI-0072",2018,"NCRN",263500,4373250,3,"Graminoids",1,1,82.9166666666667,12,100
"57","ANTI","ANTI-0072",2018,"NCRN",263500,4373250,3,"Herbaceous",2,0.583333333333333,5.41666666666667,6,50
"58","ANTI","ANTI-0072",2018,"NCRN",263500,4373250,3,"Shrubs-Micro",1,0.25,NA,3,25
"59","ANTI","ANTI-0072",2018,"NCRN",263500,4373250,3,"Shrubs-Quad",2,0.333333333333333,0.416666666666667,4,33.3333333333333
"60","ANTI","ANTI-0072",2018,"NCRN",263500,4373250,3,"Trees",1,0,NA,0,0
"61","ANTI","ANTI-0082",2016,"NCRN",266500,4373250,3,"Graminoids",1,0.0833333333333333,0.666666666666667,1,8.33333333333333
"62","ANTI","ANTI-0082",2016,"NCRN",266500,4373250,3,"Herbaceous",4,2,17.1666666666667,12,100
"63","ANTI","ANTI-0082",2016,"NCRN",266500,4373250,3,"Shrubs-Micro",1,0.0833333333333333,NA,1,8.33333333333333
"64","ANTI","ANTI-0082",2016,"NCRN",266500,4373250,3,"Shrubs-Quad",1,0.166666666666667,0.666666666666667,2,16.6666666666667
"65","ANTI","ANTI-0082",2016,"NCRN",266500,4373250,3,"Trees",1,0.583333333333333,NA,7,58.3333333333333
"66","ANTI","ANTI-0082",2012,"NCRN",266500,4373250,2,"Graminoids",1,0.0833333333333333,0.25,1,8.33333333333333
"67","ANTI","ANTI-0082",2012,"NCRN",266500,4373250,2,"Herbaceous",3,1.66666666666667,6.16666666666667,11,91.6666666666667
"68","ANTI","ANTI-0082",2012,"NCRN",266500,4373250,2,"Shrubs-Micro",1,0.0833333333333333,NA,1,8.33333333333333
"69","ANTI","ANTI-0082",2012,"NCRN",266500,4373250,2,"Shrubs-Quad",1,0.166666666666667,2.58333333333333,2,16.6666666666667
