"","park","plot_name","year","network","x_coord","y_coord","cycle","num.plot.spp","avg.quad.r","avg.cover","quad.freq","qpct.freq"
"1","ANTI","ANTI-0025",2010,"NCRN",263500,4374500,1,1,0.0833333333333333,0,1,8.33333333333333
"2","ANTI","ANTI-0025",2014,"NCRN",263500,4374500,2,4,0.916666666666667,13.6666666666667,7,58.3333333333333
"3","ANTI","ANTI-0025",2018,"NCRN",263500,4374500,3,2,1.08333333333333,39.6666666666667,11,91.6666666666667
"4","ANTI","ANTI-0036",2012,"NCRN",264000,4374250,2,9,2,25.25,12,100
"5","ANTI","ANTI-0036",2016,"NCRN",264000,4374250,3,8,1.91666666666667,28.0833333333333,11,91.6666666666667
"6","ANTI","ANTI-0045",2017,"NCRN",264000,4374000,3,3,0.25,0.0833333333333333,2,16.6666666666667
"7","ANTI","ANTI-0052",2010,"NCRN",263250,4373750,1,3,1,3.41666666666667,10,83.3333333333333
"8","ANTI","ANTI-0052",2014,"NCRN",263250,4373750,2,2,1.41666666666667,17.6666666666667,12,100
"9","ANTI","ANTI-0052",2018,"NCRN",263250,4373750,3,5,1.75,21.75,12,100
"10","ANTI","ANTI-0072",2010,"NCRN",263500,4373250,1,3,0.5,4.08333333333333,5,41.6666666666667
"11","ANTI","ANTI-0072",2014,"NCRN",263500,4373250,2,7,1.75,12.75,12,100
"12","ANTI","ANTI-0072",2018,"NCRN",263500,4373250,3,7,2.16666666666667,88.75,12,100
"13","ANTI","ANTI-0082",2012,"NCRN",266500,4373250,2,7,2.08333333333333,9,12,100
"14","ANTI","ANTI-0082",2016,"NCRN",266500,4373250,3,8,2.91666666666667,18.5,12,100
"15","ANTI","ANTI-0092",2007,"NCRN",265500,4373000,1,3,1.75,32.25,12,100
"16","ANTI","ANTI-0092",2011,"NCRN",265500,4373000,2,3,2.08333333333333,62.25,12,100
"17","ANTI","ANTI-0092",2015,"NCRN",265500,4373000,3,4,2,44.5833333333333,12,100
"18","ANTI","ANTI-0190",2007,"NCRN",264250,4370000,1,8,3.5,50.6666666666667,12,100
"19","ANTI","ANTI-0190",2011,"NCRN",264250,4370000,2,9,3.16666666666667,29.1666666666667,12,100
"20","ANTI","ANTI-0190",2015,"NCRN",264250,4370000,3,8,3.16666666666667,51.75,12,100
"21","ANTI","ANTI-0194",2012,"NCRN",265250,4370000,2,4,1.16666666666667,6.58333333333333,8,66.6666666666667
"22","ANTI","ANTI-0194",2016,"NCRN",265250,4370000,3,3,1.5,13.8333333333333,10,83.3333333333333
"23","ANTI","ANTI-0200",2013,"NCRN",264750,4369750,2,7,3.33333333333333,35.1666666666667,12,100
"24","ANTI","ANTI-0200",2017,"NCRN",264750,4369750,3,7,3.33333333333333,59.75,12,100
"25","ANTI","ANTI-0201",2010,"NCRN",265000,4369750,1,3,1.5,5,12,100
"26","ANTI","ANTI-0201",2014,"NCRN",265000,4369750,2,3,1.41666666666667,3.25,12,100
"27","ANTI","ANTI-0201",2018,"NCRN",265000,4369750,3,4,1.41666666666667,3.66666666666667,12,100
"28","ANTI","ANTI-0206",2013,"NCRN",264750,4369500,2,6,2.25,23.75,12,100
"29","ANTI","ANTI-0206",2017,"NCRN",264750,4369500,3,6,1.75,45.6666666666667,11,91.6666666666667
"30","ANTI","ANTI-0207",2007,"NCRN",265000,4369500,1,1,0.916666666666667,5.41666666666667,11,91.6666666666667
"31","ANTI","ANTI-0207",2011,"NCRN",265000,4369500,2,5,1.5,8.41666666666667,10,83.3333333333333
"32","ANTI","ANTI-0207",2015,"NCRN",265000,4369500,3,4,1.5,27.3333333333333,11,91.6666666666667
"33","CATO","CATO-0003",2007,"NCRN",287000,4395750,1,3,1.08333333333333,2.25,11,91.6666666666667
"34","CATO","CATO-0003",2011,"NCRN",287000,4395750,2,3,0.916666666666667,4.75,9,75
"35","CATO","CATO-0003",2015,"NCRN",287000,4395750,3,5,1.25,10.4166666666667,8,66.6666666666667
"36","CATO","CATO-0004",2007,"NCRN",286500,4395500,1,2,0.25,2.75,3,25
"37","CATO","CATO-0004",2011,"NCRN",286500,4395500,2,3,0.333333333333333,4.41666666666667,4,33.3333333333333
"38","CATO","CATO-0004",2015,"NCRN",286500,4395500,3,3,0.416666666666667,7.5,4,33.3333333333333
"39","CATO","CATO-0015",2009,"NCRN",286750,4394750,1,3,0.916666666666667,11.8333333333333,7,58.3333333333333
"40","CATO","CATO-0015",2013,"NCRN",286750,4394750,2,3,1.66666666666667,41.5,11,91.6666666666667
"41","CATO","CATO-0015",2017,"NCRN",286750,4394750,3,2,0.916666666666667,8.25,9,75
"42","CATO","CATO-0016",2008,"NCRN",287000,4394750,1,4,2.16666666666667,44.25,9,75
"43","CATO","CATO-0016",2012,"NCRN",287000,4394750,2,6,2.08333333333333,81.4166666666667,11,91.6666666666667
"44","CATO","CATO-0016",2016,"NCRN",287000,4394750,3,7,2.41666666666667,69.25,12,100
"45","CATO","CATO-0035",2007,"NCRN",286750,4394000,1,0,0,0,0,0
"46","CATO","CATO-0035",2011,"NCRN",286750,4394000,2,2,0.166666666666667,6.83333333333333,2,16.6666666666667
"47","CATO","CATO-0035",2015,"NCRN",286750,4394000,3,3,0.75,29,6,50
"48","CATO","CATO-0037",2007,"NCRN",287250,4394000,1,5,2.75,61.5,12,100
"49","CATO","CATO-0037",2011,"NCRN",287250,4394000,2,5,2.83333333333333,89.3333333333333,12,100
"50","CATO","CATO-0037",2015,"NCRN",287250,4394000,3,6,3.08333333333333,54.6666666666667,11,91.6666666666667
"51","CATO","CATO-0043",2009,"NCRN",285750,4393750,1,1,1,40.9166666666667,12,100
"52","CATO","CATO-0043",2013,"NCRN",285750,4393750,2,3,1.25,69.0833333333333,12,100
"53","CATO","CATO-0043",2017,"NCRN",285750,4393750,3,3,1.33333333333333,61.8333333333333,12,100
"54","CATO","CATO-0049",2007,"NCRN",287250,4393750,1,3,1,11,9,75
"55","CATO","CATO-0049",2011,"NCRN",287250,4393750,2,3,1,13.25,7,58.3333333333333
"56","CATO","CATO-0049",2015,"NCRN",287250,4393750,3,4,0.833333333333333,1.41666666666667,6,50
"57","CATO","CATO-0062",2008,"NCRN",287500,4393500,1,3,1.08333333333333,6,10,83.3333333333333
"58","CATO","CATO-0062",2012,"NCRN",287500,4393500,2,3,1,4.66666666666667,10,83.3333333333333
"59","CATO","CATO-0062",2016,"NCRN",287500,4393500,3,4,1.08333333333333,5.33333333333333,9,75
"60","CATO","CATO-0084",2007,"NCRN",285500,4393000,1,0,0,0,0,0
"61","CATO","CATO-0084",2011,"NCRN",285500,4393000,2,0,0,0,0,0
"62","CATO","CATO-0084",2015,"NCRN",285500,4393000,3,1,0.0833333333333333,0.0833333333333333,1,8.33333333333333
"63","CATO","CATO-0086",2008,"NCRN",286000,4393000,1,2,1,2.5,11,91.6666666666667
"64","CATO","CATO-0086",2012,"NCRN",286000,4393000,2,3,1.08333333333333,4.33333333333333,11,91.6666666666667
"65","CATO","CATO-0086",2016,"NCRN",286000,4393000,3,3,0.75,3.75,7,58.3333333333333
"66","CATO","CATO-0092",2008,"NCRN",287500,4393000,1,5,1.41666666666667,59,12,100
"67","CATO","CATO-0092",2012,"NCRN",287500,4393000,2,4,1.66666666666667,17.6666666666667,12,100
"68","CATO","CATO-0092",2016,"NCRN",287500,4393000,3,5,1.66666666666667,14,11,91.6666666666667
"69","CATO","CATO-0094",2007,"NCRN",288000,4393000,1,4,1.25,13.5833333333333,9,75
"70","CATO","CATO-0094",2011,"NCRN",288000,4393000,2,2,0.666666666666667,19.5,6,50
"71","CATO","CATO-0094",2015,"NCRN",288000,4393000,3,2,1,17.4166666666667,9,75
"72","CATO","CATO-0098",2008,"NCRN",289000,4393000,1,5,1.75,20.5,11,91.6666666666667
"73","CATO","CATO-0098",2012,"NCRN",289000,4393000,2,5,1.5,31,9,75
"74","CATO","CATO-0098",2016,"NCRN",289000,4393000,3,6,1.66666666666667,26.1666666666667,11,91.6666666666667
"75","CATO","CATO-0100",2009,"NCRN",289500,4393000,1,4,1.16666666666667,48.25,9,75
"76","CATO","CATO-0100",2013,"NCRN",289500,4393000,2,4,1.58333333333333,49.25,12,100
"77","CATO","CATO-0100",2017,"NCRN",289500,4393000,3,3,1.08333333333333,11.4166666666667,7,58.3333333333333
"78","CATO","CATO-0101",2008,"NCRN",289750,4393000,1,2,1.5,19.4166666666667,12,100
"79","CATO","CATO-0101",2012,"NCRN",289750,4393000,2,2,1.58333333333333,38.9166666666667,11,91.6666666666667
"80","CATO","CATO-0101",2016,"NCRN",289750,4393000,3,3,1.75,23.6666666666667,12,100
"81","CATO","CATO-0104",2008,"NCRN",286750,4392750,1,3,1.08333333333333,23.1666666666667,8,66.6666666666667
"82","CATO","CATO-0104",2012,"NCRN",286750,4392750,2,4,0.916666666666667,17.75,8,66.6666666666667
"83","CATO","CATO-0104",2016,"NCRN",286750,4392750,3,4,0.75,4.5,5,41.6666666666667
"84","CATO","CATO-0106",2009,"NCRN",287250,4392750,1,2,0.166666666666667,0.166666666666667,2,16.6666666666667
"85","CATO","CATO-0106",2013,"NCRN",287250,4392750,2,3,0.333333333333333,0.5,4,33.3333333333333
"86","CATO","CATO-0106",2017,"NCRN",287250,4392750,3,0,0,0,0,0
"87","CATO","CATO-0113",2009,"NCRN",289000,4392750,1,2,1.25,40.5,10,83.3333333333333
"88","CATO","CATO-0113",2013,"NCRN",289000,4392750,2,3,2.08333333333333,74.0833333333333,12,100
"89","CATO","CATO-0113",2017,"NCRN",289000,4392750,3,3,2,66.8333333333333,12,100
"90","CATO","CATO-0127",2009,"NCRN",288500,4392500,1,3,1.08333333333333,42.6666666666667,10,83.3333333333333
"91","CATO","CATO-0127",2013,"NCRN",288500,4392500,2,2,1.08333333333333,62.5,11,91.6666666666667
"92","CATO","CATO-0127",2017,"NCRN",288500,4392500,3,3,1.08333333333333,37.3333333333333,10,83.3333333333333
"93","CATO","CATO-0131",2009,"NCRN",289500,4392500,1,2,0.583333333333333,20.3333333333333,7,58.3333333333333
"94","CATO","CATO-0131",2013,"NCRN",289500,4392500,2,2,0.916666666666667,36.3333333333333,10,83.3333333333333
"95","CATO","CATO-0131",2017,"NCRN",289500,4392500,3,3,1.08333333333333,7.66666666666667,11,91.6666666666667
"96","CATO","CATO-0150",2008,"NCRN",289750,4392250,1,1,0.5,5.75,6,50
"97","CATO","CATO-0150",2012,"NCRN",289750,4392250,2,1,0.833333333333333,16.25,10,83.3333333333333
"98","CATO","CATO-0150",2016,"NCRN",289750,4392250,3,1,0.666666666666667,5.75,8,66.6666666666667
"99","CATO","CATO-0156",2009,"NCRN",287000,4392000,1,6,2,92.75,12,100
"100","CATO","CATO-0156",2013,"NCRN",287000,4392000,2,7,2.58333333333333,83.0833333333333,12,100
"101","CATO","CATO-0156",2017,"NCRN",287000,4392000,3,7,1.66666666666667,56.4166666666667,12,100
"102","CATO","CATO-0158",2007,"NCRN",287500,4392000,1,3,0.666666666666667,1.91666666666667,7,58.3333333333333
"103","CATO","CATO-0158",2011,"NCRN",287500,4392000,2,2,0.75,10.75,9,75
"104","CATO","CATO-0158",2015,"NCRN",287500,4392000,3,2,0.833333333333333,8.16666666666667,10,83.3333333333333
"105","CATO","CATO-0160",2008,"NCRN",288000,4392000,1,0,0,0,0,0
"106","CATO","CATO-0160",2012,"NCRN",288000,4392000,2,0,0,0,0,0
"107","CATO","CATO-0160",2016,"NCRN",288000,4392000,3,1,0.0833333333333333,0.333333333333333,1,8.33333333333333
"108","CATO","CATO-0176",2007,"NCRN",287250,4391750,1,4,1.91666666666667,13.4166666666667,12,100
"109","CATO","CATO-0176",2011,"NCRN",287250,4391750,2,3,1.75,18.5833333333333,11,91.6666666666667
"110","CATO","CATO-0176",2015,"NCRN",287250,4391750,3,3,1.75,21.5833333333333,12,100
"111","CATO","CATO-0206",2007,"NCRN",289500,4391500,1,0,0,0,0,0
"112","CATO","CATO-0206",2011,"NCRN",289500,4391500,2,0,0,0,0,0
"113","CATO","CATO-0206",2015,"NCRN",289500,4391500,3,1,0.25,8.41666666666667,3,25
"114","CATO","CATO-0211",2007,"NCRN",290750,4391500,1,0,0,0,0,0
"115","CATO","CATO-0211",2011,"NCRN",290750,4391500,2,0,0,0,0,0
"116","CATO","CATO-0211",2015,"NCRN",290750,4391500,3,1,0.0833333333333333,0.166666666666667,1,8.33333333333333
"117","CATO","CATO-0217",2009,"NCRN",287250,4391250,1,1,0.25,0.333333333333333,3,25
"118","CATO","CATO-0217",2013,"NCRN",287250,4391250,2,1,0.166666666666667,4.41666666666667,2,16.6666666666667
"119","CATO","CATO-0217",2017,"NCRN",287250,4391250,3,2,0.166666666666667,2,2,16.6666666666667
"120","CATO","CATO-0237",2007,"NCRN",287750,4391000,1,0,0,0,0,0
"121","CATO","CATO-0237",2011,"NCRN",287750,4391000,2,0,0,0,0,0
"122","CATO","CATO-0237",2015,"NCRN",287750,4391000,3,1,0.583333333333333,16.5,7,58.3333333333333
"123","CATO","CATO-0238",2008,"NCRN",288000,4391000,1,0,0,0,0,0
"124","CATO","CATO-0238",2012,"NCRN",288000,4391000,2,0,0,0,0,0
"125","CATO","CATO-0238",2016,"NCRN",288000,4391000,3,0,0,0,0,0
"126","CATO","CATO-0258",2008,"NCRN",288500,4390750,1,1,0.5,5.25,6,50
"127","CATO","CATO-0258",2012,"NCRN",288500,4390750,2,2,1,30.9166666666667,11,91.6666666666667
"128","CATO","CATO-0258",2016,"NCRN",288500,4390750,3,3,1.16666666666667,23.3333333333333,12,100
"129","CATO","CATO-0268",2008,"NCRN",291000,4390750,1,0,0,0,0,0
"130","CATO","CATO-0268",2012,"NCRN",291000,4390750,2,0,0,0,0,0
"131","CATO","CATO-0268",2016,"NCRN",291000,4390750,3,0,0,0,0,0
"132","CATO","CATO-0271",2008,"NCRN",287000,4390500,1,4,1.41666666666667,55.0833333333333,11,91.6666666666667
"133","CATO","CATO-0271",2012,"NCRN",287000,4390500,2,3,1.83333333333333,95.3333333333333,12,100
"134","CATO","CATO-0271",2016,"NCRN",287000,4390500,3,3,2.5,86.5,12,100
"135","CATO","CATO-0275",2007,"NCRN",288000,4390500,1,1,0.333333333333333,5.75,4,33.3333333333333
"136","CATO","CATO-0275",2011,"NCRN",288000,4390500,2,1,0.75,29.25,9,75
"137","CATO","CATO-0275",2015,"NCRN",288000,4390500,3,1,1,57.25,12,100
"138","CATO","CATO-0280",2008,"NCRN",289250,4390500,1,3,1.75,44.0833333333333,12,100
"139","CATO","CATO-0280",2012,"NCRN",289250,4390500,2,3,1.75,43.9166666666667,11,91.6666666666667
"140","CATO","CATO-0280",2016,"NCRN",289250,4390500,3,4,2,27.75,12,100
"141","CATO","CATO-0294",2010,"NCRN",287250,4390250,1,1,1,57.4166666666667,12,100
"142","CATO","CATO-0294",2014,"NCRN",287250,4390250,2,1,1,55,12,100
"143","CATO","CATO-0294",2018,"NCRN",287250,4390250,3,1,1,65.3333333333333,12,100
"144","CATO","CATO-0302",2008,"NCRN",289250,4390250,1,1,0.0833333333333333,0.0833333333333333,1,8.33333333333333
"145","CATO","CATO-0302",2012,"NCRN",289250,4390250,2,2,0.166666666666667,0.583333333333333,1,8.33333333333333
"146","CATO","CATO-0302",2016,"NCRN",289250,4390250,3,3,0.5,2.16666666666667,5,41.6666666666667
"147","CATO","CATO-0303",2010,"NCRN",289500,4390250,1,1,0.0833333333333333,0.0833333333333333,1,8.33333333333333
"148","CATO","CATO-0303",2014,"NCRN",289500,4390250,2,0,0,0,0,0
"149","CATO","CATO-0303",2018,"NCRN",289500,4390250,3,2,0.166666666666667,1.33333333333333,1,8.33333333333333
"150","CATO","CATO-0311",2007,"NCRN",291500,4390250,1,0,0,0,0,0
"151","CATO","CATO-0311",2011,"NCRN",291500,4390250,2,0,0,0,0,0
"152","CATO","CATO-0311",2015,"NCRN",291500,4390250,3,0,0,0,0,0
"153","CATO","CATO-0313",2007,"NCRN",292000,4390250,1,0,0,0,0,0
"154","CATO","CATO-0313",2011,"NCRN",292000,4390250,2,0,0,0,0,0
