"","TSN","Latin_Name","Tree","Shrub","Herbaceous","Graminoid"
"1",-9999999945,"Lonicera - Exotic",0,1,0,0
"2",18603,"Ranunculus ficaria",0,0,1,0
"3",18712,"Clematis terniflora",0,0,1,0
"4",18835,"Berberis thunbergii",0,1,0,0
"5",18837,"Berberis vulgaris",0,1,0,0
"6",18857,"Akebia quinata",0,1,0,0
"7",22798,"Cardamine impatiens",0,0,1,0
"8",24833,"Rosa multiflora",0,1,0,0
"9",25017,"Rubus phoenicolasius",0,1,0,0
"10",25163,"Duchesnea indica",0,0,1,0
"11",25298,"Rhodotypos scandens",0,1,0,0
"12",25898,"Lespedeza cuneata",0,0,1,0
"13",27020,"Wisteria floribunda",0,1,0,0
"14",27023,"Wisteria sinensis",0,1,0,0
"15",27945,"Euonymus",0,1,0,0
"16",27946,"Euonymus alatus",0,1,0,0
"17",27948,"Euonymus atropurpureus",0,1,0,0
"18",27949,"Euonymus europaeus",1,0,0,0
"19",27950,"Euonymus fortunei",0,1,0,0
"20",28561,"Rhamnus",0,1,0,0
"21",28573,"Rhamnus cathartica",0,1,0,0
"22",28579,"Rhamnus frangula",0,1,0,0
"23",28632,"Ampelopsis brevipedunculata",0,1,0,0
"24",28755,"Acer platanoides",1,0,0,0
"25",28827,"Ailanthus altissima",1,0,0,0
"26",29393,"Hedera helix",0,1,0,0
"27",30238,"Vinca minor",0,1,0,0
"28",32973,"Ligustrum",0,1,0,0
"29",32976,"Ligustrum obtusifolium",0,1,0,0
"30",32980,"Ligustrum vulgare",0,1,0,0
"31",35278,"Viburnum sieboldii",0,1,0,0
"32",35283,"Lonicera japonica",0,1,0,0
"33",35298,"Lonicera maackii",0,1,0,0
"34",35299,"Lonicera morrowii",0,1,0,0
"35",35306,"Lonicera tatarica",0,1,0,0
"36",36335,"Cirsium arvense",0,0,1,0
"37",39344,"Luzula luzuloides",0,0,0,1
"38",42943,"Hemerocallis fulva",0,0,1,0
"39",184481,"Alliaria petiolata",0,0,1,0
"40",502075,"Dioscorea oppositifolia",0,1,0,0
"41",502801,"Glechoma hederacea",0,0,1,0
"42",503829,"Microstegium vimineum",0,0,0,1
"43",504347,"Photinia villosa",1,0,0,0
"44",504683,"Pueraria montana",0,1,0,0
"45",504804,"Robinia pseudoacacia",1,0,0,0
"46",505677,"Viburnum dilatatum",0,1,0,0
"47",506068,"Celastrus orbiculatus",0,1,0,0
"48",523290,"Vincetoxicum hirundinaria",0,0,1,0
"49",523292,"Vincetoxicum nigrum",0,0,1,0
"50",523295,"Vincetoxicum rossicum",0,0,1,0
"51",565897,"Fallopia japonica",0,0,1,0
"52",780246,"Centaurea stoebe",0,0,1,0
"53",797406,"Oplismenus hirtellus ssp. undulatifolius",0,0,0,1
"54",823774,"Persicaria perfoliata",0,0,1,0
"55",823794,"Persicaria posumbu",0,0,1,0
"56",823855,"Persicaria longiseta",0,0,1,0
"57",893777,"Vincetoxicum",0,0,1,0
