"network","park","plot_name","plot_number","x_coord","y_coord","mean.lat","lat.rank","year","cycle","plot.freq","avg.quad.r","avg.cover","quad.freq","qpct.freq","num.plot.spp"
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-002",2,575371,4911411,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-002",2,575371,4911411,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-002",2,575371,4911411,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-003",3,574969,4909331,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-003",3,574969,4909331,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-003",3,574969,4909331,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-004",4,556272,4914012,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-004",4,556272,4914012,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-004",4,556272,4914012,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-005",5,563669,4911926,4905413.5752381,20,2010,1,1,0,0,0,0,1
"NETN","ACAD","ACAD-005",5,563669,4911926,4905413.5752381,20,2014,2,1,0,0,0,0,1
"NETN","ACAD","ACAD-005",5,563669,4911926,4905413.5752381,20,2018,3,1,0,0,0,0,1
"NETN","ACAD","ACAD-006",6,556874,4909854,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-006",6,556874,4909854,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-006",6,556874,4909854,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-007",7,556675,4910889,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-007",7,556675,4910889,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-007",7,556675,4910889,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-008",8,558967,4908990,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-008",8,558967,4908990,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-008",8,558967,4908990,4905413.5752381,20,2018,3,1,0,0,0,0,1
"NETN","ACAD","ACAD-009",9,562369,4907600,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-009",9,562369,4907600,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-009",9,562369,4907600,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-010",10,558371,4914868,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-010",10,558371,4914868,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-010",10,558371,4914868,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-011",11,558171,4912797,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-011",11,558171,4912797,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-011",11,558171,4912797,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-012",12,559064,4916430,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-012",12,559064,4916430,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-012",12,559064,4916430,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-013",13,559867,4916780,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-013",13,559867,4916780,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-013",13,559867,4916780,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-014",14,559967,4914179,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-014",14,559967,4914179,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-014",14,559967,4914179,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-015",15,555066,4914001,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-015",15,555066,4914001,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-015",15,555066,4914001,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-016",16,550771,4905507,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-016",16,550771,4905507,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-016",16,550771,4905507,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-017",17,549172,4904476,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-017",17,549172,4904476,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-017",17,549172,4904476,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-018",18,551671,4903276,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-018",18,551671,4903276,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-018",18,551671,4903276,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-019",19,548367,4908618,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-019",19,548367,4908618,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-019",19,548367,4908618,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-020",20,528957,4876073,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-020",20,528957,4876073,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-020",20,528957,4876073,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-021",21,528865,4876252,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-021",21,528865,4876252,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-021",21,528865,4876252,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-022",22,530164,4875038,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-022",22,530164,4875038,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-022",22,530164,4875038,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-023",23,530975,4876759,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-023",23,530975,4876759,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-023",23,530975,4876759,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-024",24,549066,4906045,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-024",24,549066,4906045,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-024",24,549066,4906045,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-025",25,549369,4906547,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-025",25,549369,4906547,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-025",25,549369,4906547,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-026",26,548175,4907259,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-026",26,548175,4907259,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-026",26,548175,4907259,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-027",27,553767,4900671,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-027",27,553767,4900671,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-027",27,553767,4900671,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-028",28,561453,4906376,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-028",28,561453,4906376,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-028",28,561453,4906376,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-029",29,550369,4903785,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-029",29,550369,4903785,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-030",30,563560,4906903,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-030",30,563560,4906903,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-030",30,563560,4906903,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-031",31,551073,4906731,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-031",31,551073,4906731,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-031",31,551073,4906731,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-032",32,550358,4906904,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-032",32,550358,4906904,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-032",32,550358,4906904,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-033",33,549465,4906376,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-033",33,549465,4906376,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-033",33,549465,4906376,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-034",34,558168,4916250,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-034",34,558168,4916250,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-034",34,558168,4916250,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-035",35,559069,4911925,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-035",35,559069,4911925,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-035",35,559069,4911925,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-036",36,575868,4910197,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-036",36,575868,4910197,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-036",36,575868,4910197,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-037",37,557169,4912787,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-037",37,557169,4912787,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-037",37,557169,4912787,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-038",38,549351,4909000,4905413.5752381,20,2010,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-038",38,549351,4909000,4905413.5752381,20,2014,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-038",38,549351,4909000,4905413.5752381,20,2018,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-039",39,558460,4914001,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-039",39,558460,4914001,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-039",39,558460,4914001,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-040",40,556568,4911400,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-040",40,556568,4911400,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-040",40,556568,4911400,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-041",41,555073,4898069,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-041",41,555073,4898069,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-041",41,555073,4898069,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-042",42,548965,4904832,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-042",42,548965,4904832,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-042",42,548965,4904832,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-043",43,562375,4913482,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-043",43,562375,4913482,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-043",43,562375,4913482,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-044",44,563570,4913142,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-044",44,563570,4913142,4905413.5752381,20,2011,2,1,0.125,0.0125,1,12.5,1
"NETN","ACAD","ACAD-044",44,563570,4913142,4905413.5752381,20,2015,3,1,0.125,0.1875,1,12.5,1
"NETN","ACAD","ACAD-045",45,563264,4910890,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-045",45,563264,4910890,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-045",45,563264,4910890,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-046",46,562669,4909493,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-046",46,562669,4909493,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-046",46,562669,4909493,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-047",47,564283,4907791,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-047",47,564283,4907791,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-047",47,564283,4907791,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-048",48,558469,4908101,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-048",48,558469,4908101,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-048",48,558469,4908101,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-049",49,551753,4902746,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-049",49,551753,4902746,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-049",49,551753,4902746,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-050",50,549353,4904484,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-050",50,549353,4904484,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-050",50,549353,4904484,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-051",51,560564,4908643,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-051",51,560564,4908643,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-051",51,560564,4908643,4905413.5752381,20,2015,3,0,0,0,0,0,0
"NETN","ACAD","ACAD-052",52,562669,4906037,4905413.5752381,20,2007,1,0,0,0,0,0,0
"NETN","ACAD","ACAD-052",52,562669,4906037,4905413.5752381,20,2011,2,0,0,0,0,0,0
"NETN","ACAD","ACAD-052",52,562669,4906037,4905413.5752381,20,2015,3,0,0,0,0,0,0
