"park","lat.rank","totcov","totsign","Graminoid","Herbaceous","Shrub","Tree","gramcovsign","herbcovsign","shrubcovsign","treecovsign","totcov.rank","gramcov.rank","shrubcov.rank","herbcov.rank","treecov.rank","gramcov.HL","shrubcov.HL","herbcov.HL","treecov.HL"
"ACAD",39,0.000962782430743718,"0",0,0,0.000969191883792122,0,"0","0","0","0",39,35,38,34.5,25,"L","L","L",NA
"ALPO",29,11.0831700553867,"0",7.01366488818699,1.50348354614027,3.22886587570169,0,"1","0","0","0",20,14,12,15,25,NA,NA,NA,NA
"ANTI",21,33.1553031926224,"1",21.8453588629858,10.4549606227475,0.765139786167053,0,"1","0","0","0",4,3,23,5,25,"H",NA,"H",NA
"APCO",4,8.23797574318661,"0",8.08991548153046,0.0127875144256178,0.234660608380286,0.0462149376293539,"1","0","0","0",22,12,30,31,8,NA,NA,NA,NA
"BLUE",6,3.82817789893152,"0",0.626640173826521,1.72400748438846,1.42330895040629,0,"0","0","0","0",29,26,16,14,25,NA,NA,NA,NA
"BOWA",1,1.46674035989399,"0",1.24339227608481,-0.156880779156018,0.332218385057886,0,"0","0","0","0",34,23,28,39,25,NA,NA,"L",NA
"CATO",22,19.4221770419476,"0",12.8728332886195,6.44614920545218,0.226721210396819,0,"0","0","0","0",12,8,31,9,25,NA,NA,NA,NA
"CHOH",19,36.0786907982238,"1",18.5956905691741,13.5382723935403,3.80390352474107,0,"0","0","0","0",2,5,11,3,25,"H",NA,"H",NA
"COLO",3,4.9916716689186,"0",4.75037329465589,0,0.0398215258086166,0,"0","0","0","0",28,20,35,34.5,25,NA,"L","L",NA
"DEWA",32,16.7720483228045,"0",2.47255514691741,4.60130177629317,9.69172516124106,0,"0","0","0","0",15,21,8,10,25,NA,NA,NA,NA
"FONE",24,15.3532898224965,"1",0.0402551466211302,0.519218690466327,14.539899529908,0,"0","0","0","0",17,30,4,21,25,NA,"H",NA,NA
"FRHI",23,32.1730517878174,"1",12.6411722553346,9.30158916816843,10.1518125966716,0.0613505879322238,"1","0","0","0",5,10,7,6,6,NA,NA,NA,NA
"FRSP",10,0.277106715392094,"0",0,0,0.136510406698392,0,"0","0","0","0",37,35,33,34.5,25,"L",NA,"L",NA
"GARI",9,1.6066274981612,"1",0.20363279792788,0.178059620281545,0.721623509339169,0.495632544181032,"0","0","0","0",33,28,24,25,2,NA,NA,NA,"H"
"GETT",25,21.9626921162477,"1",7.25594388442019,0.736476587833064,13.6147583526485,0.138455725792193,"0","0","0","0",10,13,6,18,4,NA,NA,NA,"H"
"GEWA",8,7.2027983236842,"1",6.05451858160761,-0.0813966642172204,0.918274622490666,0,"1","0","0","0",25,18,22,38,25,NA,NA,"L",NA
"GWMP",15,24.657001622647,"0",5.18621480871623,18.5775913512768,1.46465423124773,0,"0","0","0","0",9,19,15,1,25,NA,NA,"H",NA
"HAFE",18,10.8801154767633,"1",6.13995852207135,2.96897312335416,0.932871416559526,0,"1","0","0","0",21,17,20,12,25,NA,NA,NA,NA
"HOFU",27,30.637849052623,"0",16.735427828538,0.150109116550959,13.7733723855867,0,"0","0","0","0",6,7,5,27,25,NA,"H",NA,NA
"JOFL",28,7.38325294415946,"0",1.03165436656618,0.187647171550172,6.06572653660532,0,"0","0","0","0",24,24,9,24,25,NA,NA,NA,NA
"MABI",38,0.0269449504956942,"0",0,0,0.0264500237632982,0,"0","0","0","0",38,35,36,34.5,25,"L","L","L",NA
"MANA",13,21.712970338829,"1",17.1864405972475,4.56419910867473,0.0707812388261159,0,"0","0","0","0",11,6,34,11,25,NA,NA,NA,NA
"MIMA",35,15.9543147962719,"0",0,0.851465865250546,15.2024272395813,0.0408808226673856,"0","0","0","0",16,35,3,17,9,"L","H",NA,NA
"MONO",20,50.6205720404077,"1",31.7616706881543,17.3508316814056,1.31664269951539,0,"1","0","0","0",1,1,17,2,25,"H",NA,"H",NA
"MORR",30,33.5954998288537,"1",1.86135983715109,0.122634679338627,31.5967143786684,0.0168897265438715,"0","0","1","0",3,22,1,28,10,NA,"H",NA,NA
"NACE",14,17.5919371676112,"0",8.10175109755509,8.96704849256337,0.539100452547787,0,"0","0","0","0",13,11,26,7,25,NA,NA,NA,NA
"NERI",7,1.98246244174775,"0",0,0.705654401032341,1.09629451909872,0.0479701925538193,"0","0","0","0",32,35,18,20,7,"L",NA,NA,NA
"PETE",2,6.87234703640307,"1",6.8295819099705,0,0.158542554073607,0,"1","0","0","0",26,16,32,34.5,25,NA,NA,"L",NA
"PRWI",12,0.718091498639805,"0",0.663484869296392,0.0470938857985048,0,0,"0","0","0","0",36,25,39,30,25,NA,"L",NA,NA
"RICH",5,7.60089341778342,"1",6.87849091763056,0.43525887067554,0.242669695659265,0,"1","0","0","0",23,15,29,22,25,NA,NA,NA,NA
"ROCR",17,13.6306622656894,"0",0,13.349161337727,0.471483392418229,0,"0","0","0","0",18,35,27,4,25,"L",NA,"H",NA
"ROVA",34,2.71280748997078,"0",0.512643619002853,0.963543165558534,0.716192055085187,0.529620879329581,"0","0","0","0",30,27,25,16,1,NA,NA,NA,"H"
"SAGA",37,1.02785802426885,"0",0,0,1.04687147367773,-0.0278418311507156,"0","0","0","0",35,35,19,34.5,39,"L",NA,"L","L"
"SAHI",31,2.47984147818315,"0",0,0.166981873994649,2.10990058795031,0.106252408180948,"0","0","0","0",31,35,14,26,5,"L",NA,NA,"H"
"SARA",36,17.1718850698093,"1",0,0.711181892876515,16.4536605201646,0,"0","0","0","0",14,35,2,19,25,"L","H",NA,NA
"THST",11,12.8134212678318,"0",12.861933275294,0.0882095363146997,0.0155358664527267,0,"1","0","0","0",19,9,37,29,25,NA,"L",NA,NA
"VAFO",26,27.4173326056685,"0",22.4618968977883,1.76659902057851,2.47831956737823,0.442169917638537,"0","0","0","0",7,2,13,13,3,"H",NA,NA,"H"
"WEFA",33,5.00583063935815,"0",0.140601829119915,0.365729616965781,4.38680132202896,0.0101190311191233,"0","0","1","0",27,29,10,23,11,NA,NA,NA,NA
"WOTR",16,27.0371715941402,"0",19.3885422888529,7.97277899868808,0.921730221736214,0,"0","0","0","0",8,4,21,8,25,"H",NA,NA,NA
