"park","guild","coef","estimate","lower","upper","sign"
"ACAD","Shrub","Intercept",-66.323,-65.6016,-52.1402,1
"ACAD","Shrub","Slope",16.674,13.0427,17.3589,1
"ALPO","Graminoid","Intercept",-2.244,-7.073,0.2321,0
"ALPO","Herbaceous","Intercept",-2.538,-6.3967,0.8119,0
"ALPO","Shrub","Intercept",-2.514,-6.3145,1.2383,0
"ALPO","Graminoid","Slope",0.539,-0.5136,1.7299,0
"ALPO","Herbaceous","Slope",0.751,-0.7348,2.4566,0
"ALPO","Shrub","Slope",0.379,-1.3778,2.0058,0
"ANTI","Graminoid","Intercept",-2.886,-14.477,-0.4124,1
"ANTI","Herbaceous","Intercept",-14.212,-45.3712,22.6748,0
"ANTI","Shrub","Intercept",-0.434,-4.192,13.5923,0
"ANTI","Graminoid","Slope",1.909,0.7383,9.5987,1
"ANTI","Herbaceous","Slope",16.646,0.8858,69.9448,1
"ANTI","Shrub","Slope",0.526,-6.6461,2.2802,0
"APCO","Graminoid","Intercept",-0.669,-2.2949,0.8634,0
"APCO","Herbaceous","Intercept",-1.611,-3.8877,0.4674,0
"APCO","Shrub","Intercept",3.186,1.0857,5.8501,1
"APCO","Tree","Intercept",-2.496,-4.9678,-0.4109,1
"APCO","Graminoid","Slope",0.332,-0.273,1.0274,0
"APCO","Herbaceous","Slope",0,-1.0489,0.9356,0
"APCO","Shrub","Slope",-0.385,-1.4626,0.6516,0
"APCO","Tree","Slope",0,-1.1488,1.0593,0
"BLUE","Graminoid","Intercept",-4.973,-8.6082,-2.9109,1
"BLUE","Herbaceous","Intercept",-2.16,-4.893,1.4782,0
"BLUE","Shrub","Intercept",2.689,-0.1848,7.3797,0
"BLUE","Graminoid","Slope",1.085,0.2504,2.3492,1
"BLUE","Herbaceous","Slope",0.661,-0.7745,1.8763,0
"BLUE","Shrub","Slope",0.014,-1.4284,1.3066,0
"BOWA","Graminoid","Intercept",-13.891,-58.2235,10.5242,0
"BOWA","Herbaceous","Intercept",-22.196,-78.754,-3.4106,1
"BOWA","Shrub","Intercept",30.978,7.165,100.6322,1
"BOWA","Graminoid","Slope",1.572,-6.0682,14.7896,0
"BOWA","Herbaceous","Slope",3.415,-8.9302,23.9334,0
"BOWA","Shrub","Slope",-7.379,-28.7064,2.2317,0
"CATO","Graminoid","Intercept",-0.297,-1.8669,1.2241,0
"CATO","Herbaceous","Intercept",-1.148,-3.1447,0.7734,0
"CATO","Shrub","Intercept",-4.246,-7.0484,-2.2056,1
"CATO","Graminoid","Slope",0.728,0.1603,1.4073,1
"CATO","Herbaceous","Slope",0.859,-0.0999,1.7321,0
"CATO","Shrub","Slope",0.581,-0.3085,1.6403,0
"CHOH","Graminoid","Intercept",1.535,0.2738,3.0263,1
"CHOH","Herbaceous","Intercept",3.98,2.1528,6.1751,1
"CHOH","Shrub","Intercept",-0.919,-2.6087,0.7038,0
"CHOH","Graminoid","Slope",0.135,-0.3716,0.6324,0
"CHOH","Herbaceous","Slope",0.13,-0.7499,1.0033,0
"CHOH","Shrub","Slope",0.616,-0.1076,1.3465,0
"COLO","Graminoid","Intercept",1.233,-1.7399,4.6501,0
"COLO","Shrub","Intercept",-1.721,-6.4432,2.792,0
"COLO","Graminoid","Slope",0,-1.2384,1.1787,0
"COLO","Shrub","Slope",0.374,-1.4457,2.0354,0
"DEWA","Graminoid","Intercept",-1.394,-2.6896,-0.1409,1
"DEWA","Herbaceous","Intercept",-0.158,-1.4793,1.2973,0
"DEWA","Shrub","Intercept",0.833,-0.49,2.2948,0
"DEWA","Tree","Intercept",-6.578,-8.769,-4.8535,1
"DEWA","Graminoid","Slope",0.624,0.1981,1.1214,1
"DEWA","Herbaceous","Slope",0.203,-0.4661,0.769,0
"DEWA","Shrub","Slope",0.201,-0.4437,0.8213,0
"DEWA","Tree","Slope",0.718,-0.0329,1.5258,0
"FONE","Graminoid","Intercept",-2.942,-15.5098,0.2015,0
"FONE","Herbaceous","Intercept",-1.647,-8.0028,4.68,0
"FONE","Shrub","Intercept",3.458,-2.6211,17.8332,0
"FONE","Graminoid","Slope",-0.388,-3.6368,1.3031,0
"FONE","Herbaceous","Slope",0.072,-1.9639,4.5372,0
"FONE","Shrub","Slope",0.993,-1.6023,14.2589,0
"FRHI","Graminoid","Intercept",2.119,-0.4917,6.3467,0
"FRHI","Shrub","Intercept",2.693,-31.1079,85.912,0
"FRHI","Tree","Intercept",0.639,-3.5846,3.9881,0
"FRHI","Graminoid","Slope",0.143,-1.5532,1.8913,0
"FRHI","Shrub","Slope",0.136,-26.9904,33.7612,0
"FRHI","Tree","Slope",-0.133,-1.9809,1.5429,0
"FRSP","Shrub","Intercept",-10.394,-38.4356,-9.6699,1
"FRSP","Shrub","Slope",0.675,-0.3054,8.8476,0
"GARI","Graminoid","Intercept",-5.123,-9.3008,-3.1564,1
"GARI","Herbaceous","Intercept",-5.119,-8.6323,-2.3021,1
"GARI","Shrub","Intercept",-3.394,-5.8439,-0.6735,1
"GARI","Tree","Intercept",-3.277,-6.1826,-0.5099,1
"GARI","Graminoid","Slope",0.851,-0.0069,1.8741,0
"GARI","Herbaceous","Slope",0.621,-0.6197,2.0822,0
"GARI","Shrub","Slope",1.111,0.0282,2.2995,1
"GARI","Tree","Slope",0.495,-0.6849,1.7759,0
"GETT","Graminoid","Intercept",0.524,-0.6392,1.7442,0
"GETT","Herbaceous","Intercept",-0.856,-2.6118,0.7497,0
"GETT","Shrub","Intercept",1.388,-15.8409,6.6829,0
"GETT","Tree","Intercept",-1.194,-2.8535,0.3954,0
"GETT","Graminoid","Slope",0.402,-0.1735,1.0763,0
"GETT","Herbaceous","Slope",0.678,-0.1887,1.4906,0
"GETT","Shrub","Slope",1.326,-0.1756,25.4196,0
"GETT","Tree","Slope",0.204,-0.6438,0.9862,0
"GEWA","Graminoid","Intercept",-3.824,-54.3337,0.102,0
"GEWA","Herbaceous","Intercept",-3.634,-48.0895,25.8501,0
"GEWA","Shrub","Intercept",0.422,-6.314,48.2872,0
"GEWA","Graminoid","Slope",0.979,-1.4865,15.5265,0
"GEWA","Herbaceous","Slope",0.22,-33.4293,15.2462,0
"GEWA","Shrub","Slope",0.501,-12.8126,15.1943,0
"GWMP","Graminoid","Intercept",-1.819,-4.6449,0.1102,0
"GWMP","Herbaceous","Intercept",1.59,-1.0989,5.2349,0
"GWMP","Shrub","Intercept",-0.767,-3.3312,2.703,0
"GWMP","Graminoid","Slope",0,-0.9455,1.0589,0
"GWMP","Herbaceous","Slope",0,-1.383,1.4403,0
"GWMP","Shrub","Slope",0.503,-0.9355,1.8251,0
"HAFE","Graminoid","Intercept",-4.283,-8.0565,-2.281,1
"HAFE","Herbaceous","Intercept",1.289,-1.1705,5.8745,0
"HAFE","Shrub","Intercept",-2.211,-5.0715,1.4493,0
"HAFE","Graminoid","Slope",1.619,0.8288,3.0094,1
"HAFE","Herbaceous","Slope",0,-1.659,1.1659,0
"HAFE","Shrub","Slope",0.518,-1.1216,1.7488,0
"HOFU","Graminoid","Intercept",1.548,-1.1632,6.0579,0
"HOFU","Herbaceous","Intercept",-0.991,-5.5532,2.2495,0
"HOFU","Shrub","Intercept",-0.591,-5.0799,2.8758,0
"HOFU","Graminoid","Slope",0.343,-0.9344,1.7474,0
"HOFU","Herbaceous","Slope",0.47,-1.2684,2.3226,0
"HOFU","Shrub","Slope",1.268,-0.3673,3.6006,0
"JOFL","Graminoid","Intercept",-0.634,-4.5336,2.8213,0
"JOFL","Herbaceous","Intercept",-2.567,-10.3591,2.0754,0
"JOFL","Shrub","Intercept",-0.008,-4.3092,4.6085,0
"JOFL","Graminoid","Slope",-0.441,-2.2235,0.9555,0
"JOFL","Herbaceous","Slope",0.363,-1.6172,3.7973,0
"JOFL","Shrub","Slope",0.245,-1.5703,2.7218,0
"MABI","Shrub","Intercept",-0.855,-3.5506,6.322,0
"MABI","Shrub","Slope",0.622,-0.2517,2.0548,0
"MANA","Graminoid","Intercept",-0.085,-2.5317,2.4467,0
"MANA","Herbaceous","Intercept",2.613,-0.4275,6.6829,0
"MANA","Shrub","Intercept",-3.023,-6.9573,-0.2208,1
"MANA","Graminoid","Slope",0.633,-0.2843,1.8237,0
"MANA","Herbaceous","Slope",-0.263,-2.1144,1.2084,0
"MANA","Shrub","Slope",1.074,-0.3681,2.7424,0
"MIMA","Herbaceous","Intercept",-3.629,-31.5933,0.7512,0
"MIMA","Tree","Intercept",0.077,-4.267,22.859,0
"MIMA","Herbaceous","Slope",0,-2.2276,2.6665,0
"MIMA","Tree","Slope",-0.421,-5.977,2.742,0
"MONO","Graminoid","Intercept",64.469,46.9239,98.3369,1
"MONO","Herbaceous","Intercept",77.247,50.0331,107.1067,1
"MONO","Shrub","Intercept",-11.566,-58.751,4.7206,0
"MONO","Graminoid","Slope",-15.192,-24.5301,-8.7433,1
"MONO","Herbaceous","Slope",-22.638,-34.2174,-13.2867,1
"MONO","Shrub","Slope",0.867,-6.1306,13.625,0
"MORR","Graminoid","Intercept",1.555,0.0108,3.7634,1
"MORR","Herbaceous","Intercept",1.774,-0.3135,4.1994,0
"MORR","Shrub","Intercept",2.693,-7.3208,8.3251,0
"MORR","Tree","Intercept",-4.521,-7.9529,-2.4134,1
"MORR","Graminoid","Slope",-0.142,-0.8871,0.5746,0
"MORR","Herbaceous","Slope",0,-1.0554,1.0236,0
"MORR","Shrub","Slope",1.137,-0.6385,12.9735,0
"MORR","Tree","Slope",1.856,0.8773,3.2725,1
"NACE","Graminoid","Intercept",-1.542,-3.0172,-0.3736,1
"NACE","Herbaceous","Intercept",2.011,0.2766,4.1772,1
"NACE","Shrub","Intercept",-1.788,-3.6205,0.0585,0
"NACE","Graminoid","Slope",0.4,-0.1175,0.9417,0
"NACE","Herbaceous","Slope",-0.016,-0.8363,0.8308,0
"NACE","Shrub","Slope",0.229,-0.609,1.0369,0
"NERI","Herbaceous","Intercept",-4.625,-11.2592,-3.3059,1
"NERI","Shrub","Intercept",-2.752,-4.6631,-0.3335,1
"NERI","Tree","Intercept",-6.535,-9.5463,-4.3814,1
"NERI","Herbaceous","Slope",0.063,-0.62,0.7892,0
"NERI","Shrub","Slope",0.167,-0.6766,1.1406,0
"NERI","Tree","Slope",0.607,-0.3616,1.8177,0
"PETE","Graminoid","Intercept",-2.495,-9.8714,-0.853,1
"PETE","Shrub","Intercept",-2.919,-5.3555,-0.5815,1
"PETE","Graminoid","Slope",0.347,-0.3764,1.1327,0
"PETE","Shrub","Slope",0.367,-0.7171,1.421,0
"PRWI","Graminoid","Intercept",-10.175,-15.439,-10.0639,1
"PRWI","Herbaceous","Intercept",-7.377,-9.4023,-3.5844,1
"PRWI","Graminoid","Slope",0.325,-0.5425,1.3888,0
"PRWI","Herbaceous","Slope",-0.53,-2.1024,0.5774,0
"RICH","Graminoid","Intercept",-2.376,-4.859,-0.4852,1
"RICH","Herbaceous","Intercept",-4.042,-7.1142,-1.5265,1
"RICH","Shrub","Intercept",0.529,-1.838,3.1083,0
"RICH","Graminoid","Slope",0.756,0,1.626,0
"RICH","Herbaceous","Slope",0.407,-0.8956,1.7053,0
"RICH","Shrub","Slope",0.153,-0.9603,1.2432,0
"ROCR","Herbaceous","Intercept",4.537,-1.0738,36.554,0
"ROCR","Shrub","Intercept",1.568,-25.6738,10.1918,0
"ROCR","Herbaceous","Slope",0,-6.1401,10.3244,0
"ROCR","Shrub","Slope",0.241,-10.3097,9.0645,0
"ROVA","Graminoid","Intercept",-2.266,-3.8063,-0.9218,1
"ROVA","Herbaceous","Intercept",1.446,-0.208,3.3369,0
"ROVA","Shrub","Intercept",1.129,-0.9758,3.0873,0
"ROVA","Tree","Intercept",1.377,-0.3576,3.3149,0
"ROVA","Graminoid","Slope",0.102,-0.5861,0.7018,0
"ROVA","Herbaceous","Slope",0.001,-0.7733,0.8735,0
"ROVA","Shrub","Slope",0.892,-0.0396,2.1737,0
"ROVA","Tree","Slope",-0.088,-0.8814,0.7526,0
"SAGA","Shrub","Intercept",0.066,-7.3727,2.359,0
"SAGA","Tree","Intercept",-6.271,-35.2003,-2.7788,1
"SAGA","Shrub","Slope",-0.41,-1.5982,0.555,0
"SAGA","Tree","Slope",1.21,-0.3422,10.7623,0
"SARA","Herbaceous","Intercept",-20.306,-58.0288,-11.5821,1
"SARA","Shrub","Intercept",1.807,-11.5412,34.7589,0
"SARA","Herbaceous","Slope",3.785,0.0001,14.9271,1
"SARA","Shrub","Slope",8.742,2.4364,16.8152,1
"THST","Graminoid","Intercept",-0.152,-13.2787,17.6457,0
