"park","coef","estimate","lower","upper","sign"
"ALPO","Intercept",-2.972,-54.167,6.1747,0
"ALPO","Slope",1.843,0.476,21.5463,1
"APCO","Intercept",15.126,10.5741,63.187,1
"APCO","Slope",-2.073,-16.271,0,0
"BLUE","Intercept",6.772,-1.4112,54.1178,0
"BLUE","Slope",0.386,-13.1215,15.416,0
"BOWA","Intercept",59.975,10.5908,65.6108,1
"BOWA","Slope",-15.211,-17.2033,0,0
"CATO","Intercept",5.509,-2.2443,9.9075,0
"CATO","Slope",2.043,0.6878,16.0463,1
"CHOH","Intercept",9.796,0.5981,13.6532,1
"CHOH","Slope",0.584,-0.9576,13.5861,0
"COLO","Intercept",8.121,-15.0462,54.6529,0
"COLO","Slope",0,-13.9372,13.9398,0
"DEWA","Intercept",7.379,6.2612,11.8719,1
"DEWA","Slope",0.743,-0.3911,3.2742,0
"FONE","Intercept",-1.377,-3.4867,12.9101,0
"FONE","Slope",16.057,-0.1149,16.3382,0
"FRSP","Intercept",-8.831,-15.938,-8.5835,1
"FRSP","Slope",0.261,-0.8924,1.9073,0
"GARI","Intercept",-3.663,-29.0395,-0.1236,1
"GARI","Slope",1.61,0.628,15.1549,1
"GEWA","Intercept",-2.196,-13.2377,14.2967,0
"GEWA","Slope",15.744,-0.1309,17.4818,0
"GWMP","Intercept",8.498,-1.0682,61.8147,0
"GWMP","Slope",0,-15.6763,15.6736,0
"HAFE","Intercept",6.438,-2.5328,58.4237,0
"HAFE","Slope",0.797,-14.4774,16.627,0
"HOFU","Intercept",-1.369,-3.5813,12.8196,0
"HOFU","Slope",16.109,0,16.4508,0
"JOFL","Intercept",60.205,10.9368,63.4247,1
"JOFL","Slope",-15.429,-16.5393,0.1205,0
"MABI","Intercept",-0.855,-3.8231,6.189,0
"MABI","Slope",0.622,-0.2949,2.6706,0
"MANA","Intercept",64.322,11.357,62.7371,1
"MANA","Slope",-16.457,-16.4606,0.1199,0
"MONO","Intercept",15.683,-0.4898,55.1427,0
"MONO","Slope",-0.365,-14.0063,12.3553,0
"MORR","Intercept",5.535,-77.3662,16.3016,0
"MORR","Slope",0.83,-1.4702,91.6656,0
"NACE","Intercept",8.423,-1.4486,12.8465,0
"NACE","Slope",1.729,-0.034,15.2305,0
"NERI","Intercept",-10.585,-21.5674,-9.744,1
"NERI","Slope",0.798,-0.2972,3.8198,0
"PETE","Intercept",-1.079,-10.0548,1.0804,0
"PETE","Slope",0.277,-0.432,0.9805,0
"PRWI","Intercept",-8.379,-11.1119,-7.5227,1
"PRWI","Slope",-0.758,-2.3646,0,0
"RICH","Intercept",5.688,-1.8372,14.0004,0
"RICH","Slope",0.925,-1.0647,15.9201,0
"ROCR","Intercept",-1345.304,-1347.5642,-162.6391,1
"ROCR","Slope",1359.065,171.5709,1357.9376,1
"ROVA","Intercept",1.143,-2.6197,11.8646,0
"ROVA","Slope",14.89,0.0012,16.1203,1
"SAGA","Intercept",0.168,-4.8684,2.471,0
"SAGA","Slope",-0.368,-1.3824,0.5647,0
"SARA","Intercept",0.034,-2.8831,12.0106,0
"SARA","Slope",15.417,0.013,15.8772,1
"THST","Intercept",14.376,-12.6792,55.8522,0
"THST","Slope",-0.085,-14.4004,15.1153,0
"VAFO","Intercept",6.932,-2.2819,14.1574,0
"VAFO","Slope",1.28,-0.6546,16.2429,0
"WEFA","Intercept",61.19,10.748,62.3136,1
"WEFA","Slope",-15.419,-16.5313,0,0
"WOTR","Intercept",13.868,-13.8833,55.0405,0
"WOTR","Slope",-0.217,-14.4787,149.6825,0
