"park","guild","coef","estimate","lower","upper","sign"
"ACAD","Shrub","Intercept",-0.001,-0.0026,0.001,0
"ACAD","Shrub","Slope",0.001,-0.0003,0.0014,0
"ALPO","Graminoid","Intercept",-2.565,-8.3907,3.3223,0
"ALPO","Herbaceous","Intercept",1.717,-6.3176,9.1831,0
"ALPO","Shrub","Intercept",-1.165,-8.5507,6.2554,0
"ALPO","Graminoid","Slope",3.168,0.6902,5.4894,1
"ALPO","Herbaceous","Slope",-0.076,-3.546,3.2582,0
"ALPO","Shrub","Slope",1.431,-1.872,4.8974,0
"ANTI","Graminoid","Intercept",-11.038,-24.2002,3.8963,0
"ANTI","Herbaceous","Intercept",6.001,-14.0098,24.8092,0
"ANTI","Shrub","Intercept",5.965,-13.3643,23.9333,0
"ANTI","Graminoid","Slope",10.996,4.4529,16.6746,1
"ANTI","Herbaceous","Slope",1.478,-6.4043,10.1171,0
"ANTI","Shrub","Slope",-1.749,-9.3808,6.2196,0
"APCO","Graminoid","Intercept",1.545,-2.3419,5.4348,0
"APCO","Herbaceous","Intercept",-0.006,-5.5695,5.2742,0
"APCO","Shrub","Intercept",1.646,-3.7394,7.263,0
"APCO","Tree","Intercept",0.072,-5.2928,5.3604,0
"APCO","Graminoid","Slope",2.185,0.4984,3.9304,1
"APCO","Herbaceous","Slope",0.012,-2.5282,2.6361,0
"APCO","Shrub","Slope",-0.473,-3.0174,2.0186,0
"APCO","Tree","Slope",-0.026,-2.6077,2.5188,0
"BLUE","Graminoid","Intercept",-0.472,-2.2109,1.1664,0
"BLUE","Herbaceous","Intercept",3.097,1.0819,5.3018,1
"BLUE","Shrub","Intercept",0.669,-1.2984,2.8491,0
"BLUE","Graminoid","Slope",0.367,-0.2983,1.0597,0
"BLUE","Herbaceous","Slope",-0.45,-1.4137,0.4424,0
"BLUE","Shrub","Slope",0.253,-0.6887,1.1108,0
"BOWA","Graminoid","Intercept",-0.64,-2.7162,1.5491,0
"BOWA","Herbaceous","Intercept",1.8,-1.123,4.5873,0
"BOWA","Shrub","Intercept",0.847,-2.1144,3.6873,0
"BOWA","Graminoid","Slope",0.622,-0.345,1.5362,0
"BOWA","Herbaceous","Slope",-0.646,-1.898,0.6731,0
"BOWA","Shrub","Slope",-0.18,-1.5296,1.1016,0
"CATO","Graminoid","Intercept",14.545,9.0658,19.6862,1
"CATO","Herbaceous","Intercept",1.378,-5.4899,8.5552,0
"CATO","Shrub","Intercept",0.012,-6.9866,7.0876,0
"CATO","Graminoid","Slope",-0.554,-2.8744,1.6636,0
"CATO","Herbaceous","Slope",1.653,-1.837,4.7796,0
"CATO","Shrub","Slope",0.097,-3.3586,3.2894,0
"CHOH","Graminoid","Intercept",11.611,5.8685,17.4888,1
"CHOH","Herbaceous","Intercept",9.635,1.6817,16.8693,1
"CHOH","Shrub","Intercept",0.68,-7.0571,8.4341,0
"CHOH","Graminoid","Slope",2.344,-0.0466,4.9351,0
"CHOH","Herbaceous","Slope",1.29,-2.2725,4.8441,0
"CHOH","Shrub","Slope",1.065,-2.3898,4.7831,0
"COLO","Graminoid","Intercept",4.349,-1.4914,10.6302,0
"COLO","Shrub","Intercept",0.157,-8.4149,8.5122,0
