"","park","guild","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign","guildsign"
"1","BOWA","Graminoid",1,8,1,"c1_Graminoid",-1.17737106233276,1.21896566831815,-0.0251975619075605,"1","0","Graminoid_0"
"2","BOWA","Graminoid",2,8,1,"c2_Graminoid",-0.184295633878925,1.38531116188586,0.609097357088625,"2","0","Graminoid_0"
"3","BOWA","Graminoid",3,8,1,"c3_Graminoid",0.0370625352692823,2.47458070809973,1.24339227608481,"3","0","Graminoid_0"
"4","BOWA","Herbaceous",1,8,1,"c1_Herbaceous",-0.113277811721302,2.34670975926727,1.16319595828031,"1","0","Herbaceous_0"
"5","BOWA","Herbaceous",2,8,1,"c2_Herbaceous",-0.303773748084569,1.28419976815565,0.503157589562145,"2","0","Herbaceous_0"
"6","BOWA","Herbaceous",3,8,1,"c3_Herbaceous",-1.34051881769553,1.03895934991117,-0.156880779156018,"3","0","Herbaceous_0"
"7","BOWA","Shrub",1,8,1,"c1_Shrub",-0.681397243202084,1.86060652175421,0.649932899444112,"1","0","Shrub_0"
"8","BOWA","Shrub",2,8,1,"c2_Shrub",-0.306424001541129,1.28183995430589,0.491075642250999,"2","0","Shrub_0"
"9","BOWA","Shrub",3,8,1,"c3_Shrub",-0.921573675782472,1.57949801860563,0.332218385057886,"3","0","Shrub_0"
"10","PETE","Graminoid",1,51,2,"c1_Graminoid",1.16890641100493,6.03896424543508,3.7009971651497,"1","1","Graminoid_1"
"11","PETE","Graminoid",2,52,2,"c2_Graminoid",3.54828023190947,7.07725694024206,5.2652895375601,"2","1","Graminoid_1"
"12","PETE","Graminoid",3,52,2,"c3_Graminoid",4.52019817300153,9.161749058149,6.8295819099705,"3","1","Graminoid_1"
"13","PETE","Shrub",1,51,2,"c1_Shrub",-2.2211728107069,2.50319921355752,0.195634194986229,"1","0","Shrub_0"
"14","PETE","Shrub",2,52,2,"c2_Shrub",-1.52677740069352,1.95554785916716,0.177088374529918,"2","0","Shrub_0"
"15","PETE","Shrub",3,52,2,"c3_Shrub",-2.13405357302427,2.70455069625289,0.158542554073607,"3","0","Shrub_0"
"16","COLO","Graminoid",2,47,3,"c2_Graminoid",2.67796247349752,6.65191659385813,4.61915227048139,"2","0","Graminoid_0"
"17","COLO","Graminoid",3,47,3,"c3_Graminoid",2.65743124009039,6.9623611401076,4.75037329465589,"3","0","Graminoid_0"
"18","COLO","Shrub",2,47,3,"c2_Shrub",-2.10364011409983,2.05528110677012,0.0361989340604593,"2","0","Shrub_0"
"19","COLO","Shrub",3,47,3,"c3_Shrub",-1.95523497746307,2.01954237614979,0.0398215258086166,"3","0","Shrub_0"
"20","APCO","Graminoid",1,28,4,"c1_Graminoid",1.21770440746194,6.35120576040678,3.79667025178004,"1","1","Graminoid_1"
"21","APCO","Graminoid",2,28,4,"c2_Graminoid",4.21113373417749,7.89097922275015,5.94329286665525,"2","1","Graminoid_1"
"22","APCO","Graminoid",3,28,4,"c3_Graminoid",5.56176545545878,10.7388832802166,8.08991548153046,"3","1","Graminoid_1"
"23","APCO","Herbaceous",1,28,4,"c1_Herbaceous",-2.31594975575446,2.40204701203705,0.0173824536107032,"1","0","Herbaceous_0"
"24","APCO","Herbaceous",2,28,4,"c2_Herbaceous",-1.74268407366072,1.78035578048497,0.0150849840181605,"2","0","Herbaceous_0"
