"","park","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign"
"1","BOWA",1,8,1,"c1",-0.557601017595795,3.9207672979601,1.75512834759957,"1","0"
"2","BOWA",2,8,1,"c2",0.140379313469912,3.04402417967062,1.61093435374678,"2","0"
"3","BOWA",3,8,1,"c3",-0.760838992478304,3.76455246743595,1.46674035989399,"3","0"
"4","PETE",1,51,2,"c1",0.323215564144712,7.39660389282564,4.0261183321604,"1","1"
"5","PETE",2,52,2,"c2",2.11472299952912,8.69058374720853,5.44923268428174,"2","1"
"6","PETE",3,52,2,"c3",3.44890395508942,10.2947392360727,6.87234703640307,"3","1"
"7","COLO",2,47,3,"c2",2.13663889151773,7.76568587334163,4.83886694838764,"2","0"
"8","COLO",3,47,3,"c3",2.07082605940116,7.85012281084314,4.9916716689186,"3","0"
"9","APCO",1,28,4,"c1",-0.832366185724056,10.2141876913625,4.68660234367244,"1","0"
"10","APCO",2,28,4,"c2",1.33794423882011,11.5480922122839,6.46228904342953,"2","0"
"11","APCO",3,28,4,"c3",3.03184492604163,13.7643274458881,8.23797574318661,"3","0"
"12","RICH",1,32,5,"c1",-0.556234058974111,7.66005169446581,3.57599888305279,"1","1"
"13","RICH",2,32,5,"c2",1.84466869830319,9.50356038696028,5.58844615041811,"2","1"
"14","RICH",3,32,5,"c3",3.82824541891623,11.7839304625257,7.60089341778342,"3","1"
"15","BLUE",1,27,6,"c1",1.09312445870044,5.81495367558061,3.50388896528791,"1","0"
"16","BLUE",2,39,6,"c2",1.46274373285062,5.77508034688103,3.66603343210971,"2","0"
"17","BLUE",3,40,6,"c3",1.48726126550151,6.13975898491658,3.82817789893152,"3","0"
"18","NERI",1,78,7,"c1",-0.271662679476695,2.28957465879467,0.998093370882769,"1","0"
"19","NERI",2,101,7,"c2",0.416784770409988,2.58106421925366,1.49027790631526,"2","0"
"20","NERI",3,102,7,"c3",0.766846755443998,3.27287012953266,1.98246244174775,"3","0"
"21","GEWA",1,8,8,"c1",-2.77040444466944,6.67326167067627,1.93282440998424,"1","1"
"22","GEWA",2,8,8,"c2",0.110873746466128,9.02579145465744,4.56781136683422,"2","1"
