"park","guild","coef","estimate","lower","upper","sign"
"ACAD","Shrub","Intercept",-0.072,-0.2681,0.1241,0
"ACAD","Shrub","Slope",0.071,-0.0161,0.1491,0
"ALPO","Graminoid","Intercept",-0.354,-15.8596,15.9488,0
"ALPO","Herbaceous","Intercept",8.64,-12.173,28.7818,0
"ALPO","Shrub","Intercept",-1.334,-20.4191,17.4807,0
"ALPO","Graminoid","Slope",5.957,-0.194,11.561,0
"ALPO","Herbaceous","Slope",1.211,-7.4294,10.0311,0
"ALPO","Shrub","Slope",4.241,-4.4107,12.6482,0
"ANTI","Graminoid","Intercept",-12.497,-39.0811,13.0655,0
"ANTI","Herbaceous","Intercept",75.555,41.004,110.8605,1
"ANTI","Shrub","Intercept",18.574,-18.8322,54.2539,0
"ANTI","Tree","Intercept",-2.701,-38.1217,31.6601,0
"ANTI","Graminoid","Slope",21.813,10.6078,32.672,1
"ANTI","Herbaceous","Slope",1.918,-13.4414,16.6515,0
"ANTI","Shrub","Slope",-1.2,-16.7415,15.0527,0
"ANTI","Tree","Slope",3.049,-11.7767,18.7121,0
"APCO","Graminoid","Intercept",19.841,5.3726,33.0347,1
"APCO","Herbaceous","Intercept",2.182,-15.2446,21.6561,0
"APCO","Shrub","Intercept",48.214,29.9233,67.239,1
"APCO","Tree","Intercept",0.992,-15.9488,19.3935,0
"APCO","Graminoid","Slope",3.423,-2.5381,9.3374,0
"APCO","Herbaceous","Slope",1.637,-7.1685,9.6831,0
"APCO","Shrub","Slope",-1.19,-9.8113,7.5025,0
"APCO","Tree","Slope",0.298,-8.4004,8.6172,0
"BLUE","Graminoid","Intercept",-1.614,-14.001,10.4648,0
"BLUE","Herbaceous","Intercept",21.76,7.9502,35.5979,1
"BLUE","Shrub","Intercept",9.46,-3.5638,23.6479,0
"BLUE","Graminoid","Slope",3.656,-0.7963,8.0951,0
"BLUE","Herbaceous","Slope",-0.059,-5.8537,5.9358,0
"BLUE","Shrub","Slope",2.735,-3.2751,8.6056,0
"BOWA","Graminoid","Intercept",7.639,-17.9572,32.6629,0
"BOWA","Herbaceous","Intercept",7.986,-22.668,38.7216,0
"BOWA","Shrub","Intercept",60.764,31.9134,93.0078,1
"BOWA","Graminoid","Slope",2.083,-7.0713,12.4681,0
"BOWA","Herbaceous","Slope",0,-15.0247,13.9824,0
"BOWA","Shrub","Slope",0.521,-14.3696,14.2477,0
"CATO","Graminoid","Intercept",29.365,19.2268,39.5428,1
"CATO","Herbaceous","Intercept",26.474,13.4799,40.3343,1
"CATO","Shrub","Intercept",1.417,-11.4651,14.8741,0
"CATO","Tree","Intercept",0.453,-12.5932,13.912,0
"CATO","Graminoid","Slope",3.656,-0.6046,7.9829,0
"CATO","Herbaceous","Slope",1.785,-4.5544,7.7251,0
"CATO","Shrub","Slope",0.68,-5.3331,6.9837,0
"CATO","Tree","Slope",0.17,-6.3268,6.5447,0
"CHOH","Graminoid","Intercept",29.422,19.3885,39.1018,1
"CHOH","Herbaceous","Intercept",67.8,55.6079,80.5995,1
"CHOH","Shrub","Intercept",12.556,0.1634,24.077,1
"CHOH","Tree","Intercept",1.729,-9.9435,13.733,0
"CHOH","Graminoid","Slope",4.981,0.8698,8.9585,1
"CHOH","Herbaceous","Slope",0.367,-5.5958,6.3279,0
"CHOH","Shrub","Slope",4.375,-0.9538,10.4046,0
"CHOH","Tree","Slope",-0.078,-5.5799,5.3027,0
"COLO","Graminoid","Intercept",22.518,0.4461,44.3035,1
"COLO","Shrub","Intercept",17.731,-13.09,45.5451,0
"COLO","Graminoid","Slope",1.95,-6.0353,10.1313,0
"COLO","Shrub","Slope",-0.887,-11.9941,11.3312,0
"DEWA","Graminoid","Intercept",18.906,10.3768,27.5119,1
"DEWA","Herbaceous","Intercept",29.273,19.5637,38.8522,1
"DEWA","Shrub","Intercept",20.406,10.6667,30.0607,1
"DEWA","Graminoid","Slope",-0.257,-3.2482,2.6862,0
"DEWA","Herbaceous","Slope",-0.233,-4.6537,3.9468,0
"DEWA","Shrub","Slope",1.856,-2.113,6.2053,0
"FONE","Graminoid","Intercept",4.744,-9.7414,19.0677,0
"FONE","Herbaceous","Intercept",5.358,-11.9765,22.4896,0
"FONE","Shrub","Intercept",29.569,11.5658,48.396,1
"FONE","Graminoid","Slope",-0.425,-6.5355,5.6096,0
"FONE","Herbaceous","Slope",0.803,-7.4621,8.656,0
"FONE","Shrub","Slope",4.224,-3.788,12.084,0
"FRHI","Graminoid","Intercept",22.402,3.4243,39.8701,1
"FRHI","Herbaceous","Intercept",48.52,22.0914,73.0234,1
"FRHI","Shrub","Intercept",16.7,-6.7932,41.823,0
"FRHI","Tree","Intercept",5.143,-21.0457,29.1816,0
"FRHI","Graminoid","Slope",8.37,0.4766,16.5164,1
"FRHI","Herbaceous","Slope",6.024,-5.1794,17.6894,0
"FRHI","Shrub","Slope",8.633,-2.3586,19.3833,0
"FRHI","Tree","Slope",1.769,-9.1348,14.1215,0
"FRSP","Shrub","Intercept",5.262,1.3118,9.3508,1
"FRSP","Shrub","Slope",0.641,-0.2349,1.5141,0
"GARI","Graminoid","Intercept",0.463,-6.2425,7.9768,0
"GARI","Herbaceous","Intercept",0.088,-9.1633,9.335,0
"GARI","Shrub","Intercept",3.403,-5.4271,12.3086,0
"GARI","Tree","Intercept",3.315,-5.4172,11.9709,0
