"park","coef","estimate","lower","upper","sign"
"ACAD","Intercept",-0.072,-0.2643,0.1246,0
"ACAD","Slope",0.071,-0.0091,0.1556,0
"ALPO","Intercept",13.669,-3.8241,29.2694,0
"ALPO","Slope",3.776,0.2088,7.3342,1
"ANTI","Intercept",68.011,45.3741,88.859,1
"ANTI","Slope",8,0.3936,16.8133,1
"APCO","Intercept",56.448,40.3803,71.8748,1
"APCO","Slope",0.744,-2.8143,4.3584,0
"BLUE","Intercept",24.47,11.7481,36.9566,1
"BLUE","Slope",1.891,-0.4946,4.2563,0
"BOWA","Intercept",63.194,33.5436,93.6323,1
"BOWA","Slope",1.042,-3.6671,5.7993,0
"CATO","Intercept",41.156,28.563,52.9232,1
"CATO","Slope",3.997,1.3501,6.5792,1
"CHOH","Intercept",73.135,64.103,81.9616,1
"CHOH","Slope",0.963,-1.0946,3.0695,0
"COLO","Intercept",34.752,21.6418,47.4052,1
"COLO","Slope",0.887,-2.4794,4.2065,0
"DEWA","Intercept",40.848,32.1125,49.9624,1
"DEWA","Slope",0.603,-1.2335,2.4152,0
"FONE","Intercept",31.646,15.4808,48.1364,1
"FONE","Slope",5.424,2.4793,8.5398,1
"FRHI","Intercept",60.903,47.8139,73.6678,1
"FRHI","Slope",7.891,4.1561,11.572,1
"FRSP","Intercept",6.757,2.3826,11.266,1
"FRSP","Slope",0.641,-0.312,1.5648,0
"GARI","Intercept",6.823,-1.5957,15.0618,0
"GARI","Slope",2.433,0.7674,4.3445,1
"GETT","Intercept",79.406,70.5963,88.0969,1
"GETT","Slope",4.661,1.4829,7.8405,1
"GEWA","Intercept",29.57,2.3841,56.4744,1
"GEWA","Slope",9.854,4.0494,15.193,1
"GWMP","Intercept",48.889,31.5154,67.5839,1
"GWMP","Slope",1.875,-1.1972,4.7556,0
"HAFE","Intercept",44.931,25.6083,64.1963,1
"HAFE","Slope",2.969,-3.7301,9.3135,0
"HOFU","Intercept",57.986,38.748,78.5584,1
"HOFU","Slope",5.208,1.5029,8.6864,1
"JOFL","Intercept",14.615,-6.6146,36.9842,0
"JOFL","Slope",5.023,-1.693,11.778,0
"MABI","Intercept",-0.347,-4.1773,3.1495,0
"MABI","Slope",1.302,-0.2322,2.9871,0
"MANA","Intercept",56.152,37.41,72.2242,1
"MANA","Slope",4.15,0.0819,8.5143,1
"MIMA","Intercept",79.167,67.4329,91.172,1
"MIMA","Slope",-0.937,-3.9453,2.1217,0
"MONO","Intercept",89.88,75.1584,105.5953,1
"MONO","Slope",-0.024,-3.4275,3.7748,0
"MORR","Intercept",69.494,54.488,84.0373,1
"MORR","Slope",1.786,-0.2514,3.7866,0
"NACE","Intercept",54.756,42.7187,66.7972,1
"NACE","Slope",2.532,-0.9814,5.9016,0
"NERI","Intercept",9.527,4.112,14.9486,1
"NERI","Slope",1.298,0.3119,2.3692,1
"PETE","Intercept",17.426,7.8714,27.4371,1
"PETE","Slope",2.74,0.9243,4.4993,1
"PRWI","Intercept",7.874,5.0225,10.989,1
"PRWI","Slope",-0.977,-1.6945,-0.2355,1
"RICH","Intercept",36.372,22.2195,50.6377,1
"RICH","Slope",1.563,-1.0047,3.9413,0
"ROCR","Intercept",58.48,40.4496,77.0421,1
"ROCR","Slope",0.877,-1.4714,3.2144,0
"ROVA","Intercept",45.476,32.1456,58.1566,1
"ROVA","Slope",0.469,-3.7518,4.6785,0
"SAGA","Intercept",1.984,-5.6542,10.0893,0
"SAGA","Slope",2.083,-0.8606,4.8522,0
"SAHI","Intercept",72.917,46.9256,96.8547,1
"SAHI","Slope",5.208,-5.3518,16.3243,0
"SARA","Intercept",57.991,45.6301,69.7494,1
"SARA","Slope",5.744,3.246,8.3135,1
"THST","Intercept",58.681,30.1196,84.3645,1
"THST","Slope",4.687,-0.5744,10.103,0
"VAFO","Intercept",57.341,40.6255,73.257,1
"VAFO","Slope",4.018,1.6896,6.5332,1
"WEFA","Intercept",23.75,1.7101,45.509,1
"WEFA","Slope",8.125,2.9911,12.837,1
"WOTR","Intercept",41.727,5.6111,79.6115,1
"WOTR","Slope",4.665,-1.6863,11.0207,0
