"","park","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign"
"1","BOWA",1,8,1,"c1",35.453351431381,92.5630395644874,63.9357299573461,"1","0"
"2","BOWA",2,8,1,"c2",37.6099930435776,92.7141026650569,65.0548640142148,"2","0"
"3","BOWA",3,8,1,"c3",39.0701126080626,94.304797454577,66.1739980710835,"3","0"
"4","PETE",1,51,2,"c1",11.1925231965371,29.2300189607164,19.9446406844501,"1","1"
"5","PETE",2,52,2,"c2",13.9940286005474,31.6189849720925,22.7012929134353,"2","1"
"6","PETE",3,52,2,"c3",16.3573072301667,34.3897227634024,25.4579451424205,"3","1"
"7","COLO",2,47,3,"c2",26.3488283841988,46.7987612926691,36.2528584147398,"2","0"
"8","COLO",3,47,3,"c3",26.8592688668778,47.3648544833619,37.2518292828528,"3","0"
"9","APCO",1,28,4,"c1",43.6438743054602,71.5315207597525,57.5880347247028,"1","0"
"10","APCO",2,28,4,"c2",44.3210832567864,72.1398316638086,58.3266493316368,"2","0"
"11","APCO",3,28,4,"c3",44.6096375866583,73.3918891459454,59.0652639385707,"3","0"
"12","RICH",1,32,5,"c1",22.7139198615962,50.9119984526258,37.596069184612,"1","0"
"13","RICH",2,32,5,"c2",24.8556623915168,52.5631982975225,39.1877148151328,"2","0"
"14","RICH",3,32,5,"c3",26.4521919591301,54.3305656275112,40.7793604456537,"3","0"
"15","BLUE",1,27,6,"c1",14.1533758901271,37.7879606758934,26.1319937147367,"1","0"
"16","BLUE",2,39,6,"c2",16.4397636015305,39.7743393942209,28.0539084669107,"2","0"
"17","BLUE",3,40,6,"c3",17.9789580130268,42.4469455651471,29.9758232190848,"3","0"
"18","NERI",1,78,7,"c1",5.30073873985639,16.2796996496314,10.9102037858004,"1","1"
"19","NERI",2,101,7,"c2",6.784086803547,17.6426379732577,12.1764973525134,"2","1"
"20","NERI",3,102,7,"c3",8.02649838391592,18.7571846145673,13.4427909192265,"3","1"
"21","GEWA",1,8,8,"c1",13.2212139390499,66.587320468857,39.4666519614734,"1","1"
"22","GEWA",2,8,8,"c2",23.2733813688768,76.6411751557111,49.4061607657628,"2","1"
"23","GEWA",3,6,8,"c3",31.5028334824477,86.9539239511453,59.3456695700522,"3","1"
"24","GARI",1,26,9,"c1",0.893890456708024,16.6355786849137,8.94613037252524,"1","1"
