"park","guild","coef","estimate","lower","upper","sign"
"ACAD","Shrub","Intercept",-0.001,-0.0027,0.0012,0
"ACAD","Shrub","Slope",0.001,-0.0001,0.0015,0
"ALPO","Graminoid","Intercept",-0.016,-0.2348,0.2003,0
"ALPO","Herbaceous","Intercept",0.141,-0.1176,0.4107,0
"ALPO","Shrub","Intercept",-0.05,-0.3305,0.2037,0
"ALPO","Graminoid","Slope",0.064,-0.0204,0.1519,0
"ALPO","Herbaceous","Slope",0.012,-0.1029,0.1252,0
"ALPO","Shrub","Slope",0.075,-0.0428,0.1933,0
"ANTI","Graminoid","Intercept",-0.114,-0.471,0.2778,0
"ANTI","Herbaceous","Intercept",1.166,0.6727,1.6558,1
"ANTI","Shrub","Intercept",0.236,-0.2401,0.6845,0
"ANTI","Tree","Intercept",-0.016,-0.5012,0.4758,0
"ANTI","Graminoid","Slope",0.213,0.0681,0.3619,1
"ANTI","Herbaceous","Slope",0.002,-0.2099,0.203,0
"ANTI","Shrub","Slope",-0.025,-0.2271,0.1775,0
"ANTI","Tree","Slope",0.025,-0.1974,0.2366,0
"APCO","Graminoid","Intercept",0.198,0.0462,0.3528,1
"APCO","Herbaceous","Intercept",0.02,-0.1833,0.2129,0
"APCO","Shrub","Intercept",0.543,0.3418,0.7523,1
"APCO","Tree","Intercept",0.01,-0.1978,0.2212,0
"APCO","Graminoid","Slope",0.034,-0.0335,0.0983,0
"APCO","Herbaceous","Slope",0.018,-0.0736,0.1093,0
"APCO","Shrub","Slope",-0.009,-0.1057,0.0804,0
"APCO","Tree","Slope",0.003,-0.0931,0.0993,0
"BLUE","Graminoid","Intercept",-0.013,-0.1708,0.1649,0
"BLUE","Herbaceous","Intercept",0.34,0.1373,0.5291,1
"BLUE","Shrub","Intercept",0.091,-0.1214,0.286,0
"BLUE","Graminoid","Slope",0.036,-0.0334,0.0974,0
"BLUE","Herbaceous","Slope",-0.017,-0.0993,0.0735,0
"BLUE","Shrub","Slope",0.034,-0.0524,0.1283,0
"BOWA","Graminoid","Intercept",0.076,-0.1935,0.3223,0
"BOWA","Herbaceous","Intercept",0.079,-0.2212,0.3919,0
"BOWA","Shrub","Intercept",0.649,0.3623,0.9562,1
"BOWA","Graminoid","Slope",0.021,-0.0781,0.1291,0
"BOWA","Herbaceous","Slope",0,-0.1436,0.1413,0
"BOWA","Shrub","Slope",-0.01,-0.1489,0.1273,0
"CATO","Graminoid","Intercept",0.294,0.1732,0.405,1
"CATO","Herbaceous","Intercept",0.293,0.1481,0.4583,1
"CATO","Shrub","Intercept",0.015,-0.1341,0.1629,0
"CATO","Tree","Intercept",0.005,-0.1419,0.1619,0
"CATO","Graminoid","Slope",0.037,-0.0085,0.0885,0
"CATO","Herbaceous","Slope",0.035,-0.0352,0.1011,0
"CATO","Shrub","Slope",0.007,-0.061,0.074,0
"CATO","Tree","Slope",0.002,-0.0688,0.0698,0
"CHOH","Graminoid","Intercept",0.293,0.1427,0.4441,1
"CHOH","Herbaceous","Intercept",1.116,0.9057,1.3098,1
