"","park","guild","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign","guildsign"
"1","BOWA","Graminoid",1,8,1,"c1_Graminoid",-0.0914778523759747,0.294863834992284,0.100383389452516,"1","0","Graminoid_0"
"2","BOWA","Graminoid",2,8,1,"c2_Graminoid",-0.040421692066658,0.281954236991505,0.12123772028611,"2","0","Graminoid_0"
"3","BOWA","Graminoid",3,8,1,"c3_Graminoid",-0.0380423637134007,0.327196888154802,0.142092051119704,"3","0","Graminoid_0"
"4","BOWA","Herbaceous",1,8,1,"c1_Herbaceous",-0.112703546187208,0.279387208692995,0.0807089795790837,"1","0","Herbaceous_0"
"5","BOWA","Herbaceous",2,8,1,"c2_Herbaceous",-0.0818301786316638,0.24101611459528,0.0803674898515828,"2","0","Herbaceous_0"
"6","BOWA","Herbaceous",3,8,1,"c3_Herbaceous",-0.107634460397202,0.280994160649275,0.0800260001240819,"3","0","Herbaceous_0"
"7","BOWA","Shrub",1,8,1,"c1_Shrub",0.455214481269622,0.835772007865328,0.640867280792942,"1","0","Shrub_0"
"8","BOWA","Shrub",2,8,1,"c2_Shrub",0.474191612764927,0.784151094271179,0.630931107232994,"2","0","Shrub_0"
"9","BOWA","Shrub",3,8,1,"c3_Shrub",0.429315095121122,0.802728533235827,0.620994933673046,"3","0","Shrub_0"
"10","PETE","Graminoid",1,51,2,"c1_Graminoid",0.0673949838625023,0.22491779833766,0.146769254758137,"1","1","Graminoid_1"
"11","PETE","Graminoid",2,52,2,"c2_Graminoid",0.108746488741085,0.256271463169242,0.181982098341475,"2","1","Graminoid_1"
"12","PETE","Graminoid",3,52,2,"c3_Graminoid",0.136844827524642,0.295064959123917,0.217194941924814,"3","1","Graminoid_1"
"13","PETE","Shrub",1,51,2,"c1_Shrub",0.0274085494118341,0.180225767580107,0.103991445091013,"1","0","Shrub_0"
"14","PETE","Shrub",2,52,2,"c2_Shrub",0.0590043108696069,0.203228353212465,0.130828932948077,"2","0","Shrub_0"
"15","PETE","Shrub",3,52,2,"c3_Shrub",0.0838857413674467,0.237086336550466,0.157666420805142,"3","0","Shrub_0"
"16","COLO","Graminoid",2,47,3,"c2_Graminoid",0.186065671429284,0.349478292218167,0.265698129026284,"2","0","Graminoid_0"
"17","COLO","Graminoid",3,47,3,"c3_Graminoid",0.201220604660602,0.367569007449478,0.285963991822542,"3","0","Graminoid_0"
"18","COLO","Shrub",2,47,3,"c2_Shrub",0.0882717053970379,0.250070313883906,0.169256088097774,"2","0","Shrub_0"
"19","COLO","Shrub",3,47,3,"c3_Shrub",0.082742905756916,0.242891675816576,0.160232948039475,"3","0","Shrub_0"
"20","APCO","Graminoid",1,28,4,"c1_Graminoid",0.130144087068105,0.3370512522183,0.235544804605475,"1","0","Graminoid_0"
"21","APCO","Graminoid",2,28,4,"c2_Graminoid",0.188299305848821,0.355490183784133,0.269027654092932,"2","0","Graminoid_0"
"22","APCO","Graminoid",3,28,4,"c3_Graminoid",0.191198102846942,0.403325820142963,0.30251050358039,"3","0","Graminoid_0"
"23","APCO","Herbaceous",1,28,4,"c1_Herbaceous",-0.0601039507446516,0.155467241323984,0.0432791115479609,"1","0","Herbaceous_0"
"24","APCO","Herbaceous",2,28,4,"c2_Herbaceous",-0.0193345136851952,0.149839010353111,0.0615169166645476,"2","0","Herbaceous_0"
"25","APCO","Herbaceous",3,28,4,"c3_Herbaceous",-0.0174391177769621,0.184995643057741,0.0797547217811343,"3","0","Herbaceous_0"
"26","APCO","Shrub",1,28,4,"c1_Shrub",0.431446083258529,0.641995548522106,0.536157182827667,"1","0","Shrub_0"
"27","APCO","Shrub",2,28,4,"c2_Shrub",0.447191600737245,0.615877386629387,0.528114053478197,"2","0","Shrub_0"
"28","APCO","Shrub",3,28,4,"c3_Shrub",0.414008745078874,0.634997097658395,0.520070924128726,"3","0","Shrub_0"
"29","APCO","Tree",1,28,4,"c1_Tree",-0.0918837150015915,0.120261356158557,0.0151597383851488,"1","0","Tree_0"
"30","APCO","Tree",2,28,4,"c2_Tree",-0.0652134420712476,0.103727679108186,0.0174491101043695,"2","0","Tree_0"
"31","APCO","Tree",3,28,4,"c3_Tree",-0.0880685596901434,0.125711181854991,0.0197384818235901,"3","0","Tree_0"
"32","RICH","Graminoid",1,32,5,"c1_Graminoid",0.065424297670466,0.270483209973169,0.170663383963894,"1","1","Graminoid_1"
"33","RICH","Graminoid",2,32,5,"c2_Graminoid",0.139443934749824,0.318078157501354,0.230917139714757,"2","1","Graminoid_1"
"34","RICH","Graminoid",3,32,5,"c3_Graminoid",0.18898662460148,0.388060047138184,0.291170895465621,"3","1","Graminoid_1"
"35","RICH","Herbaceous",1,32,5,"c1_Herbaceous",-0.0579467057994593,0.150340777520619,0.04687277983114,"1","0","Herbaceous_0"
"36","RICH","Herbaceous",2,32,5,"c2_Herbaceous",-0.0297573097169347,0.151790938893204,0.0593127762676024,"2","0","Herbaceous_0"
"37","RICH","Herbaceous",3,32,5,"c3_Herbaceous",-0.028535220508207,0.175545473933905,0.0717527727040649,"3","0","Herbaceous_0"
"38","RICH","Shrub",1,32,5,"c1_Shrub",0.219276974595643,0.430440483195246,0.325265007471574,"1","0","Shrub_0"
"39","RICH","Shrub",2,32,5,"c2_Shrub",0.235417580083104,0.411989389525076,0.323132694975937,"2","0","Shrub_0"
"40","RICH","Shrub",3,32,5,"c3_Shrub",0.215881067495951,0.421378312217714,0.3210003824803,"3","0","Shrub_0"
"41","BLUE","Graminoid",1,27,6,"c1_Graminoid",-0.0918627035948524,0.141464162644406,0.0237866231898357,"1","0","Graminoid_0"
"42","BLUE","Graminoid",2,39,6,"c2_Graminoid",-0.0291484534667769,0.15432088713252,0.05909746323373,"2","0","Graminoid_0"
"43","BLUE","Graminoid",3,40,6,"c3_Graminoid",-0.0119073012053183,0.198431302301436,0.0944083032776243,"3","0","Graminoid_0"
"44","BLUE","Herbaceous",1,27,6,"c1_Herbaceous",0.209831489363659,0.432605035525875,0.324430071712816,"1","0","Herbaceous_0"
"45","BLUE","Herbaceous",2,39,6,"c2_Herbaceous",0.221113863969296,0.398646277007677,0.30680700963232,"2","0","Herbaceous_0"
"46","BLUE","Herbaceous",3,40,6,"c3_Herbaceous",0.180154350971764,0.395882209324813,0.289183947551825,"3","0","Herbaceous_0"
"47","BLUE","Shrub",1,27,6,"c1_Shrub",0.0157253319964052,0.240313058930131,0.127266323488512,"1","0","Shrub_0"
"48","BLUE","Shrub",2,39,6,"c2_Shrub",0.0724886859118438,0.249764686136385,0.160535012522743,"2","0","Shrub_0"
"49","BLUE","Shrub",3,40,6,"c3_Shrub",0.0939082085156414,0.297874300290666,0.193803701556974,"3","0","Shrub_0"
"50","NERI","Herbaceous",1,78,7,"c1_Herbaceous",0.0539180230991523,0.135328669285079,0.0941690065110602,"1","0","Herbaceous_0"
"51","NERI","Herbaceous",2,101,7,"c2_Herbaceous",0.062635264328937,0.122028531203787,0.0914275469392488,"2","0","Herbaceous_0"
"52","NERI","Herbaceous",3,102,7,"c3_Herbaceous",0.0494303907574847,0.127474790935228,0.0886860873674374,"3","0","Herbaceous_0"
"53","NERI","Shrub",1,78,7,"c1_Shrub",-0.00104529553864448,0.0823458053672122,0.0398048427492989,"1","0","Shrub_0"
"54","NERI","Shrub",2,101,7,"c2_Shrub",0.0254949320788409,0.0847939981954246,0.0547325878387242,"2","0","Shrub_0"
"55","NERI","Shrub",3,102,7,"c3_Shrub",0.0323541573207707,0.107360232657959,0.0696603329281494,"3","0","Shrub_0"
"56","NERI","Tree",1,78,7,"c1_Tree",-0.0285075379814662,0.0516858893089152,0.0123357190946928,"1","0","Tree_0"
"57","NERI","Tree",2,101,7,"c2_Tree",-0.0114440816147724,0.0479590824290227,0.0192153490766599,"2","0","Tree_0"
"58","NERI","Tree",3,102,7,"c3_Tree",-0.0110916251810057,0.0620330081468628,0.0260949790586271,"3","0","Tree_0"
"59","GEWA","Graminoid",1,8,8,"c1_Graminoid",-0.113320213963222,0.214955402385951,0.0604460788370658,"1","0","Graminoid_0"
"60","GEWA","Graminoid",2,8,8,"c2_Graminoid",-0.00591264533201259,0.240665517241106,0.124189584651071,"2","0","Graminoid_0"
"61","GEWA","Graminoid",3,6,8,"c3_Graminoid",0.0115386739699144,0.358553636336266,0.187933090465076,"3","0","Graminoid_0"
