"park","coef","estimate","lower","upper","sign"
"ACAD","Intercept",-0.001,-0.0027,0.0012,0
"ACAD","Slope",0.001,-0.0001,0.0015,0
"ALPO","Intercept",0.063,-0.3656,0.4647,0
"ALPO","Slope",0.156,0.0495,0.2758,1
"ANTI","Intercept",1.216,0.6367,1.8381,1
"ANTI","Slope",0.244,0.0722,0.4144,1
"APCO","Intercept",0.773,0.4688,1.0784,1
"APCO","Slope",0.046,-0.018,0.1121,0
"BLUE","Intercept",0.411,0.1153,0.7226,1
"BLUE","Slope",0.053,-0.0187,0.1222,0
"BOWA","Intercept",0.778,0.2426,1.2995,1
"BOWA","Slope",0.042,-0.0611,0.1445,0
"CATO","Intercept",0.604,0.3929,0.8178,1
"CATO","Slope",0.081,0.042,0.121,1
"CHOH","Intercept",1.583,1.2414,1.8943,1
"CHOH","Slope",0.149,0.0784,0.2261,1
"COLO","Intercept",0.434,0.2369,0.6299,1
"COLO","Slope",0.012,-0.0464,0.0708,0
"DEWA","Intercept",0.824,0.5623,1.0946,1
"DEWA","Slope",0.064,0.0014,0.1248,1
"FONE","Intercept",0.374,0.1235,0.629,1
"FONE","Slope",0.107,0.057,0.1557,1
"FRHI","Intercept",0.973,0.4588,1.4667,1
"FRHI","Slope",0.367,0.2304,0.4904,1
"FRSP","Intercept",0.069,0.0174,0.1254,1
"FRSP","Slope",0.012,-0.0029,0.0257,0
"GARI","Intercept",0.089,-0.0817,0.2593,0
"GARI","Slope",0.049,0.0107,0.0868,1
"GETT","Intercept",1.229,0.8451,1.6447,1
"GETT","Slope",0.37,0.2351,0.5057,1
"GEWA","Intercept",0.303,-0.0331,0.6454,0
"GEWA","Slope",0.137,0.0751,0.2028,1
"GWMP","Intercept",0.799,0.254,1.3082,1
"GWMP","Slope",0.169,0.0497,0.2807,1
"HAFE","Intercept",0.621,0.289,0.9476,1
"HAFE","Slope",0.067,-0.025,0.1547,0
"HOFU","Intercept",0.972,0.4054,1.5497,1
"HOFU","Slope",0.206,0.0794,0.3491,1
"JOFL","Intercept",0.148,-0.1173,0.4246,0
"JOFL","Slope",0.07,-0.0211,0.1583,0
"MABI","Intercept",-0.003,-0.0388,0.0343,0
"MABI","Slope",0.013,-0.0031,0.0277,0
"MANA","Intercept",0.906,0.5273,1.3071,1
"MANA","Slope",0.082,-0.0056,0.1619,0
"MIMA","Intercept",1.115,0.7882,1.422,1
"MIMA","Slope",0.097,0.0121,0.1885,1
"MONO","Intercept",2.017,1.3511,2.6571,1
"MONO","Slope",0.028,-0.1474,0.2085,0
"MORR","Intercept",1.97,1.2732,2.5963,1
"MORR","Slope",0.094,-0.0245,0.2212,0
"NACE","Intercept",0.845,0.5117,1.1623,1
"NACE","Slope",0.116,0.0166,0.2172,1
"NERI","Intercept",0.117,0.0185,0.2097,1
"NERI","Slope",0.028,0.0076,0.0493,1
"PETE","Intercept",0.213,0.0578,0.3635,1
"PETE","Slope",0.055,0.0206,0.0889,1
"PRWI","Intercept",0.096,0.0599,0.1346,1
"PRWI","Slope",-0.012,-0.0207,-0.0024,1
"RICH","Intercept",0.476,0.2137,0.7585,1
"RICH","Slope",0.07,0.0215,0.1187,1
"ROCR","Intercept",0.827,0.3507,1.2793,1
"ROCR","Slope",0.171,0.0648,0.2822,1
"ROVA","Intercept",0.604,0.3404,0.8568,1
"ROVA","Slope",0.07,-0.0088,0.1569,0
"SAGA","Intercept",0.028,-0.0736,0.1283,0
"SAGA","Slope",0.024,-0.0056,0.0535,0
"SAHI","Intercept",1.257,0.5815,1.9636,1
"SAHI","Slope",0.083,-0.1862,0.3552,0
"SARA","Intercept",0.711,0.4732,0.9565,1
"SARA","Slope",0.199,0.1505,0.253,1
"THST","Intercept",0.66,0.0429,1.3036,1
"THST","Slope",0.252,0.1016,0.4103,1
"VAFO","Intercept",0.581,0.0303,1.1406,1
"VAFO","Slope",0.402,0.2593,0.5414,1
"WEFA","Intercept",0.471,-0.4031,1.2752,0
"WEFA","Slope",0.225,0.1389,0.3042,1
"WOTR","Intercept",1.149,-0.1789,2.3523,0
"WOTR","Slope",0.13,0.0552,0.2044,1
