"","park","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign"
"1","BOWA",1,8,1,"c1",0.372318578162636,1.2646742132244,0.829006126625647,"1","0"
"2","BOWA",2,8,1,"c2",0.434224538690604,1.28571253388028,0.867695319528195,"2","0"
"3","BOWA",3,8,1,"c3",0.463248846063879,1.34119098703557,0.906384512430743,"3","0"
"4","PETE",1,51,2,"c1",0.133768467396549,0.416722842514965,0.272898486327524,"1","1"
"5","PETE",2,52,2,"c2",0.186452608461328,0.469287588576732,0.327939062424453,"2","1"
"6","PETE",3,52,2,"c3",0.239874850840891,0.531402607705794,0.382979638521381,"3","1"
"7","COLO",2,47,3,"c2",0.326045729372658,0.606883162762672,0.464010149067398,"2","0"
"8","COLO",3,47,3,"c3",0.33640007823167,0.618683419775158,0.476056260673318,"3","0"
"9","APCO",1,28,4,"c1",0.498106366857492,1.10468800879889,0.807880119143697,"1","0"
"10","APCO",2,28,4,"c2",0.559490221613045,1.14448884579788,0.855199670671892,"2","0"
"11","APCO",3,28,4,"c3",0.600700035086232,1.1907102131628,0.902519222200087,"3","0"
"12","RICH",1,32,5,"c1",0.290581411859628,0.790179241157417,0.538535366585821,"1","1"
"13","RICH",2,32,5,"c2",0.354888143599419,0.861134916736466,0.609338798500503,"2","1"
"14","RICH",3,32,5,"c3",0.421097431353489,0.942392056443048,0.680142230415185,"3","1"
"15","BLUE",1,27,6,"c1",0.216563444963633,0.737497660542067,0.470024410454093,"1","0"
"16","BLUE",2,39,6,"c2",0.280478312326331,0.772982430936836,0.521266319368497,"2","0"
"17","BLUE",3,40,6,"c3",0.316785598839555,0.824230237363627,0.572508228282901,"3","0"
"18","NERI",1,78,7,"c1",0.0533677597592914,0.230739290603884,0.144550993206275,"1","1"
"19","NERI",2,101,7,"c2",0.0844737716329742,0.251356976737447,0.171923824978928,"2","1"
"20","NERI",3,102,7,"c3",0.109304047507486,0.280457184853822,0.199296656751581,"3","1"
"21","GEWA",1,8,8,"c1",0.109196557594601,0.780236573326048,0.436487400460142,"1","1"
"22","GEWA",2,8,8,"c2",0.246807406997487,0.901626342656444,0.572467805387894,"2","1"
"23","GEWA",3,6,8,"c3",0.3775266973254,1.03684647049288,0.708448210315646,"3","1"
"24","GARI",1,26,9,"c1",-0.0132364701387396,0.299225846104268,0.136887074411076,"1","1"
"25","GARI",2,38,9,"c2",0.0391454603090581,0.343681127409558,0.185145025172461,"2","1"
"26","GARI",3,43,9,"c3",0.0780767521935723,0.390405545451725,0.233402975933845,"3","1"
"27","FRSP",1,104,10,"c1",0.0357709773667395,0.127937816134048,0.0806438964341738,"1","0"
"28","FRSP",2,104,10,"c2",0.0473875353375491,0.135344872873398,0.0920848945876606,"2","0"
"29","FRSP",3,104,10,"c3",0.0565077653006769,0.151678998615006,0.103525892741147,"3","0"
"30","THST",1,8,11,"c1",0.316341834425393,1.53297827436212,0.919124260912869,"1","1"
"31","THST",2,8,11,"c2",0.610583587979764,1.74850942973639,1.17366587386622,"2","1"
"32","THST",3,6,11,"c3",0.847011047704882,2.00017179024858,1.42820748681956,"3","1"
"33","PRWI",1,145,12,"c1",0.0491769805008458,0.119745680679042,0.0842989523879307,"1","1"
"34","PRWI",2,145,12,"c2",0.0380298250416997,0.106264509172043,0.0727470314729052,"2","1"
"35","PRWI",3,145,12,"c3",0.0280294400513552,0.0969331865026104,0.0611951105578797,"3","1"
"36","MANA",1,17,13,"c1",0.600797073940481,1.36256361595141,0.99209360142415,"1","0"
"37","MANA",2,17,13,"c2",0.705484389867307,1.44778876897993,1.07406516380852,"2","0"
"38","MANA",3,17,13,"c3",0.771576256934351,1.54643376341418,1.15603672619289,"3","0"
"39","NACE",1,45,14,"c1",0.6913478860291,1.23494644127377,0.961537360059394,"1","1"
"40","NACE",2,47,14,"c2",0.843221027669275,1.3390388803973,1.07851359572211,"2","1"
"41","NACE",3,48,14,"c3",0.949559513077358,1.47397361926825,1.19548983138482,"3","1"
"42","GWMP",1,20,15,"c1",0.477315052930687,1.47134138064719,0.966129980958068,"1","1"
"43","GWMP",2,20,15,"c2",0.653450138087379,1.64544028492603,1.13482045412042,"2","1"
"44","GWMP",3,20,15,"c3",0.801153931730974,1.81087243336274,1.30351092728278,"3","1"
